fold_id,t_end,mse,mae,skill_vs_naive,mode,target_granularity,aux_source,lag_window,mollified,run_type
0,730,541.2946166992188,6.613095283508301,0.0004480112021960636,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
1,744,218.8050537109375,3.956845283508301,0.19293809407064566,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
2,758,675.3303833007812,8.714285850524902,-1.9471449749720309,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
3,772,84.58482360839844,2.8854167461395264,-0.05581765737981814,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
4,786,23.001487731933594,1.4032738208770752,0.5502240673643983,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
5,800,38.92856979370117,1.9255952835083008,0.21786708043638958,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
6,814,50.61606979370117,2.172619104385376,-0.26370932864168983,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
7,828,53.949405670166016,2.1666667461395264,0.4483818500731135,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
8,842,927.4732055664062,12.815476417541504,-11.492973857770808,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
9,856,40.7648811340332,2.032738208770752,0.8109024169198403,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
10,870,47.77083206176758,2.050595283508301,-0.21773758079662264,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
11,884,30.17410659790039,1.8229166269302368,0.5499300709645996,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
12,898,33.988094329833984,1.773809552192688,0.29651647637917444,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
13,912,30.32291603088379,1.7247023582458496,0.22861147803984883,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
14,926,31.766368865966797,1.9270833730697632,0.4309591211117263,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
15,940,33.438987731933594,1.867559552192688,0.32840195409247963,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
16,954,28.415178298950195,1.5372023582458496,0.4343060443897988,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
17,968,27.57589340209961,1.6889880895614624,0.6189075919094815,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
18,982,51.41518020629883,2.105654716491699,-0.39583091472300147,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
19,996,33.34077453613281,1.7098214626312256,0.6167464913785452,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
20,1010,98.76487731933594,2.7916667461395264,-0.5876470891595489,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
21,1024,60.66964340209961,2.342261791229248,0.5380169827929573,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
22,1038,50.529762268066406,2.3035714626312256,0.15475567559951642,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
23,1052,101.91963958740234,3.0208332538604736,-0.4238492094748545,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
24,1066,108.70684814453125,3.028273820877075,-0.7344778257784208,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
25,1080,125.72618865966797,3.2589285373687744,-0.4362112785476395,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
26,1094,51.818450927734375,2.1488094329833984,0.12527318518715036,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
27,1108,71.50743865966797,2.581845283508301,-0.4129079374234339,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
28,1122,90.30506134033203,2.608630895614624,-0.5089390545662225,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
29,1136,50.70535659790039,2.0625,0.4000950940153505,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
30,1150,60.75446319580078,2.3020832538604736,-0.42547390885548175,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
31,1164,38.65625,1.8318452835083008,0.5673384392799756,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
32,1178,24.803571701049805,1.452380895614624,0.6029821458490766,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
33,1192,53.08928680419922,2.050595283508301,-0.8110564584280588,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
34,1206,28.32291603088379,1.5342261791229248,0.22171336463874058,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
35,1220,40.6711311340332,1.7306547164916992,0.004770183691557572,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
36,1234,47.400299072265625,2.09375,0.010100071818448741,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
37,1248,25.369047164916992,1.4732142686843872,-0.41277869869196193,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
38,1262,29.738094329833984,1.6279761791229248,-0.4470673622641754,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
39,1276,36.14881134033203,1.7083333730697632,-0.4808583520631149,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
40,1290,38.74553680419922,1.7782738208770752,-0.03911089704188897,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
41,1304,62.438987731933594,2.188988208770752,-0.6553832704406586,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
42,1318,18.57589340209961,1.2544642686843872,0.10950203488983434,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
43,1332,16.48958396911621,1.4181547164916992,0.3680638478901572,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
44,1346,19.046131134033203,1.2544642686843872,-0.06898851873861034,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
45,1360,30.004465103149414,1.4270833730697632,0.0,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
46,1374,35.44643020629883,1.648809552192688,-0.01647181882344806,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
47,1388,545.8869018554688,8.678571701049805,-21.76787466839835,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
48,1402,48.90178680419922,2.1011905670166016,-0.978327658324115,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
49,1416,43.970237731933594,2.0267856121063232,-0.525924421655632,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
50,1430,28.480655670166016,1.430059552192688,-0.18728296122900567,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
51,1444,38.14731979370117,1.680059552192688,-0.1632707805673661,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
52,1458,61.90922546386719,2.3348214626312256,0.054928314545996004,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
53,1472,59.89583206176758,2.4136905670166016,-0.8457375370100673,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
54,1486,35.4851188659668,1.711309552192688,0.3118633197144246,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
55,1500,27.126487731933594,1.5014880895614624,-0.11560589354888706,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
56,1514,57.543155670166016,2.0401785373687744,0.18004666222968535,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
57,1528,47.46428680419922,1.913690447807312,0.010639235131533309,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
58,1542,38.02678680419922,1.8005952835083008,-0.47395750546237725,S6_y_small_lag_mollified,drug,y_small_history,1..14,True,manual
