fold_id,t_end,mse,mae,skill_vs_naive,mode,target_granularity,aux_source,lag_window,mollified,run_type
0,730,541.7901611328125,6.921131134033203,-0.00046705872249064306,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
1,744,220.20684814453125,4.242559432983398,0.187767578727833,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
2,758,4645.47900390625,20.809524536132812,-19.27289226316754,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
3,772,77.45982360839844,3.0729167461395264,0.03311911032757797,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
4,786,21.41964340209961,1.6309523582458496,0.5811557843484114,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
5,800,35.66368865966797,2.154761791229248,0.28346340280122306,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
6,814,46.26785659790039,2.372023820877075,-0.15514938708850057,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
7,828,53.00893020629883,2.4375,0.4579979585174172,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
8,842,549.110107421875,7.544642925262451,-6.396459731545349,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
9,856,53.150299072265625,2.4151785373687744,0.7534497141913119,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
10,870,57.8601188659668,2.517857074737549,-0.474925977453037,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
11,884,38.98660659790039,2.2276785373687744,0.41848487848620997,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
12,898,42.22172546386719,2.206845283508301,0.12609727646305768,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
13,912,38.02678680419922,2.1160714626312256,0.03263172849507545,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
14,926,42.11606979370117,2.392857074737549,0.24556169854202192,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
15,940,40.84375,2.230654716491699,0.1796826235460589,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
16,954,34.78125,1.9270833730697632,0.30756926152055053,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
17,968,33.494049072265625,2.032738208770752,0.5371200623846393,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
18,982,60.418155670166016,2.5223214626312256,-0.6402457242507711,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
19,996,39.95089340209961,2.0223214626312256,0.5407629162207113,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
20,1010,109.98809814453125,3.1815476417541504,-0.7680605555429847,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
21,1024,64.28422546386719,2.596726179122925,0.5104929125463198,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
22,1038,54.85714340209961,2.574404716491699,0.08236874601819788,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
