target,nonzero_rate,bucket,mse_s1,mse_s8,mae_s1,mae_s8,delta_mse_s8_minus_s1
A02BA01,0.059076682316118935,sparse,0.7972528,0.85659343,0.20934066,0.20824176,0.059340656
A03AB02,0.036384976525821594,sparse,1.1494505,4.9467034,0.18131869,0.5192308,3.797253
A03FA01,0.2335680751173709,sparse,6.513187,15.877473,1.2593406,1.4181318,9.364286
A04AA01,0.009780907668231613,sparse,3.25,8.78956,0.15329671,0.471978,5.5395603
A10AB05,0.0003912363067292645,ultra_sparse,0.0,0.0065934067,0.0,0.0065934067,0.0065934067
A10AE04,0.000782472613458529,ultra_sparse,0.0,0.0054945056,0.0,0.0054945056,0.0054945056
A11EA,0.09115805946791862,sparse,5.4164834,3.8994505,0.86263734,0.6181319,-1.5170329
B02AA02,0.02699530516431925,sparse,0.85604393,2.7615385,0.17802198,0.31098902,1.9054946
B05BA03,0.0003912363067292645,ultra_sparse,0.0016483517,0.0076923077,0.0016483517,0.0076923077,0.006043956
B05BB01,0.3345070422535211,sparse,13.108791,32.446705,1.8813187,2.1313186,19.337914
B05BB02,0.6592331768388107,sparse,531.12305,653.1038,16.35934,15.260989,121.980774
B05XA03,0.16392801251956182,sparse,11.363187,20.789011,1.4763737,1.3901099,9.425824
C01EA01,0.01564945226917058,sparse,0.33736265,0.3412088,0.06153846,0.06538462,0.0038461387
C07AG01,0.001564945226917058,ultra_sparse,0.0027472528,0.00989011,0.0016483517,0.008791209,0.0071428576
C08CA04,0.0019561815336463224,ultra_sparse,0.015384615,0.08956044,0.0076923077,0.05879121,0.07417583
D11AH05,0.10211267605633803,sparse,5.179121,8.693407,0.7912088,0.9252747,3.514286
H02AB02,0.7992957746478874,dense,1571.6753,5727.4263,19.818132,27.226374,4155.751
H02AB04,0.000782472613458529,ultra_sparse,0.05989011,0.06758242,0.007142857,0.014835165,0.007692311
H02AB08,0.202660406885759,sparse,5.762637,37.012638,0.8054945,1.293956,31.25
J01CR02,0.155320813771518,sparse,3.681868,7.4357142,0.6631868,0.70714283,3.7538462
J01DC02,0.08020344287949922,sparse,47.125275,83.647255,1.7274725,2.2362638,36.52198
J01DC05,0.4338810641627543,sparse,389.9324,518.306,13.368681,13.074176,128.37363
J01DC07,0.008998435054773083,sparse,0.44065934,5.4302197,0.046153847,0.41263735,4.98956
J01DC09,0.16158059467918623,sparse,44.358242,336.4533,1.3505495,3.106044,292.09506
J01DC14,0.0011737089201877935,ultra_sparse,0.00989011,0.013186813,0.0032967033,0.0065934067,0.003296703
J01DD04,0.004303599374021909,ultra_sparse,0.071978025,0.07472528,0.018131869,0.020879121,0.0027472526
J01GB03,0.3474178403755869,sparse,310.3132,410.88626,10.820879,11.476374,100.57306
J01GB07,0.465962441314554,sparse,371.90878,1117.4082,10.097802,13.663187,745.4994
J01MA02,0.06572769953051644,sparse,2.3626373,5.223077,0.52527475,0.54065937,2.8604395
M01AB05,0.770735524256651,dense,335.33572,445.94562,13.624725,13.618132,110.60989
M01AB15,0.1396713615023474,sparse,10.213737,27.517582,1.371978,1.4758241,17.303844
M03AB01,0.003912363067292645,ultra_sparse,0.16483517,1.0587912,0.016483517,0.114835165,0.893956
M03AC09,0.004694835680751174,ultra_sparse,0.07912088,1.9296703,0.0065934067,0.17582418,1.8505495
N01AH01,0.005477308294209703,sparse,0.081868134,1.8554945,0.008241759,0.22582418,1.7736263
N01AH06,0.014475743348982786,sparse,0.31868133,0.7807692,0.07032967,0.17307693,0.4620879
N01AX07,0.01995305164319249,sparse,0.1510989,0.12252747,0.07967033,0.056593407,-0.028571434
N01AX10,0.05242566510172144,sparse,0.6593407,4.782418,0.18241759,0.46593407,4.123077
N01BB02,0.032081377151799685,sparse,0.20549451,5.5087914,0.10769231,0.5769231,5.303297
N01BB52,0.7061815336463224,dense,148.41484,165.32912,8.833516,8.802748,16.914276
N02AB02,0.004303599374021909,ultra_sparse,0.2813187,0.32252747,0.04835165,0.07967033,0.041208774
N02AX02,0.7449139280125195,dense,610.7154,1620.8873,10.5736265,13.652198,1010.17194
N05BA01,0.16705790297339593,sparse,3.192857,3.760989,1.0016483,0.7412088,0.5681319
N05CD08,0.053208137715179966,sparse,4.840659,5.1076922,0.33516484,0.4021978,0.2670331
N07AA01,0.004694835680751174,ultra_sparse,0.71263736,1.9994506,0.05989011,0.22692308,1.2868133
R03CA02,0.0027386541471048514,ultra_sparse,0.055494506,0.06153846,0.014835165,0.020879121,0.0060439557
R05CB06,0.0528169014084507,sparse,0.44230768,0.9,0.1478022,0.2736264,0.4576923
R06AB04,0.47456964006259783,sparse,57.703297,96.71209,4.847253,5.2516484,39.008793
V03AB25,0.000782472613458529,ultra_sparse,0.004945055,0.006043956,0.0038461538,0.004945055,0.001098901
