run_id,fold_id,t_end,mse,rmse,mae,naive_mse,skill_vs_naive,worst_h,worst_h_mse,stage1_signature,stage1_reused,full_refit,scenario,epoch_profile
RUN_S03_MLP_BASELINE_011_E05_CAP_200_300,25,1080,763.4657592773438,27.630884170532227,10.028273582458496,3.8050594329833984,-199.6448973331121,4,853.6458129882812,,False,False,S03_MLP_BASELINE_011,E05_CAP_200_300
RUN_S02_MLP_BASELINE_008_E05_CAP_200_300,25,1080,762.3883666992188,27.61138153076172,9.888392448425291,3.8050594329833984,-199.36174996127716,4,852.8958129882812,,False,False,S02_MLP_BASELINE_008,E05_CAP_200_300
RUN_S01_TS_LATENT_BASELINE_ALIAS_E05_CAP_200_300,25,1080,758.5133666992188,27.541120529174805,9.71875,3.8050594329833984,-198.34336902183367,4,848.3125,,False,False,S01_TS_LATENT_BASELINE_ALIAS,E05_CAP_200_300
RUN_S03_MLP_BASELINE_011_E02_CAP_200_200,25,1080,664.9151611328125,25.78594970703125,7.766368865966797,3.8050594329833984,-173.74501327604193,4,737.4166870117188,,False,False,S03_MLP_BASELINE_011,E02_CAP_200_200
RUN_S03_MLP_BASELINE_011_E03_CAP_300_300,25,1080,607.74853515625,24.65255546569824,7.653273582458496,3.8050594329833984,-158.72116752976396,7,727.875,,False,False,S03_MLP_BASELINE_011,E03_CAP_300_300
RUN_S03_MLP_BASELINE_011_E03_CAP_300_300,57,1528,564.1011962890625,23.75081443786621,8.392857551574707,3.611607074737549,-155.19118708533793,4,628.5208129882812,,False,False,S03_MLP_BASELINE_011,E03_CAP_300_300
RUN_S02_MLP_BASELINE_008_E03_CAP_300_300,57,1528,547.6681518554688,23.40231132507324,7.766368865966797,3.611607074737549,-150.64112278057468,11,623.8541870117188,,False,False,S02_MLP_BASELINE_008,E03_CAP_300_300
RUN_S01_TS_LATENT_BASELINE_ALIAS_E03_CAP_300_300,57,1528,531.577392578125,23.05596160888672,7.023809432983398,3.611607074737549,-146.18583211789564,11,621.2708129882812,,False,False,S01_TS_LATENT_BASELINE_ALIAS,E03_CAP_300_300
RUN_S02_MLP_BASELINE_008_E04_CAP_300_200,25,1080,530.7544555664062,23.038108825683594,7.572916507720947,3.8050594329833984,-138.48650866413996,4,848.2291870117188,,False,False,S02_MLP_BASELINE_008,E04_CAP_300_200
RUN_S02_MLP_BASELINE_008_E03_CAP_300_300,25,1080,527.93896484375,22.9769229888916,7.346726417541504,3.8050594329833984,-137.74657522229913,4,823.5625,,False,False,S02_MLP_BASELINE_008,E03_CAP_300_300
RUN_S03_MLP_BASELINE_011_E05_CAP_200_300,57,1528,514.1875,22.675703048706055,7.4464287757873535,3.611607074737549,-141.3708308682404,4,621.5208129882812,,False,False,S03_MLP_BASELINE_011,E05_CAP_200_300
RUN_S01_TS_LATENT_BASELINE_ALIAS_E03_CAP_300_300,25,1080,508.171142578125,22.542652130126953,6.739583492279053,3.8050594329833984,-132.55143369723606,4,866.4166870117188,,False,False,S01_TS_LATENT_BASELINE_ALIAS,E03_CAP_300_300
RUN_S01_TS_LATENT_BASELINE_ALIAS_E01_CAP_100_100,25,1080,427.9747009277344,20.687549591064453,6.418154716491699,3.8050594329833984,-111.47516851324872,6,747.625,,False,False,S01_TS_LATENT_BASELINE_ALIAS,E01_CAP_100_100
RUN_S03_MLP_BASELINE_011_E02_CAP_200_200,57,1528,424.6889953613281,20.60798454284668,5.733631134033203,3.611607074737549,-116.59003307196416,10,608.6666870117188,,False,False,S03_MLP_BASELINE_011,E02_CAP_200_200
RUN_S03_MLP_BASELINE_011_E04_CAP_300_200,25,1080,329.84375,18.16160011291504,4.123511791229248,3.8050594329833984,-85.68557109537245,9,543.4583129882812,,False,False,S03_MLP_BASELINE_011,E04_CAP_300_200
RUN_S02_MLP_BASELINE_008_E02_CAP_200_200,25,1080,288.391357421875,16.98208999633789,4.793154716491699,3.8050594329833984,-74.79155135449713,3,624.0208129882812,,False,False,S02_MLP_BASELINE_008,E02_CAP_200_200
RUN_S01_TS_LATENT_BASELINE_ALIAS_E04_CAP_300_200,25,1080,258.9985046386719,16.093429565429688,4.028273582458496,3.8050594329833984,-67.06687495958539,0,478.2291564941406,,False,False,S01_TS_LATENT_BASELINE_ALIAS,E04_CAP_300_200
RUN_S02_MLP_BASELINE_008_E05_CAP_200_300,57,1528,232.19940185546875,15.23809051513672,4.684523582458496,3.611607074737549,-63.29254264110179,0,620.8541870117188,,False,False,S02_MLP_BASELINE_008,E05_CAP_200_300
