fold_id,t_end,mse,mae,skill_vs_naive,mode,target_granularity,aux_source,run_type
0,730,541.5372314453125,6.617559432983398,0.0,S4_supply_history_latent_mollified,drug,none,manual
1,744,1720.3839111328125,16.300594329833984,-5.345631852193546,S4_supply_history_latent_mollified,drug,none,manual
2,758,170.32589721679688,4.132440567016602,0.2566969819474064,S4_supply_history_latent_mollified,drug,none,manual
3,772,111.32142639160156,3.2738094329833984,-0.3895533810309979,S4_supply_history_latent_mollified,drug,none,manual
4,786,33.779762268066406,1.6785714626312256,0.3394634183929256,S4_supply_history_latent_mollified,drug,none,manual
5,800,48.59672546386719,2.0877976417541504,0.023619440176922524,S4_supply_history_latent_mollified,drug,none,manual
6,814,63.16666793823242,2.407738208770752,-0.5770546361679356,S4_supply_history_latent_mollified,drug,none,manual
7,828,65.23809814453125,2.342261791229248,0.3329580084116571,S4_supply_history_latent_mollified,drug,none,manual
8,842,4464.87353515625,20.269344329833984,-59.14141219195146,S4_supply_history_latent_mollified,drug,none,manual
9,856,52.8586311340332,2.123511791229248,0.7548026851959466,S4_supply_history_latent_mollified,drug,none,manual
10,870,57.10714340209961,2.2232143878936768,-0.45573170177905964,S4_supply_history_latent_mollified,drug,none,manual
11,884,38.69493865966797,1.9360119104385376,0.42283532935494594,S4_supply_history_latent_mollified,drug,none,manual
12,898,41.51339340209961,1.90625,0.14075829069557566,S4_supply_history_latent_mollified,drug,none,manual
13,912,38.06993865966797,1.8377976417541504,0.031533982949232375,S4_supply_history_latent_mollified,drug,none,manual
14,926,41.85416793823242,2.0982143878936768,0.2502532282112525,S4_supply_history_latent_mollified,drug,none,manual
15,940,40.98958206176758,1.9508928060531616,0.1767536913517318,S4_supply_history_latent_mollified,drug,none,manual
16,954,34.49256134033203,1.6383928060531616,0.3133165219497914,S4_supply_history_latent_mollified,drug,none,manual
17,968,33.20535659790039,1.7440476417541504,0.541109724973235,S4_supply_history_latent_mollified,drug,none,manual
18,982,60.2663688659668,2.236607074737549,-0.6361249818377683,S4_supply_history_latent_mollified,drug,none,manual
