fold_id,t_end,mse,mae,skill_vs_naive,mode,target_granularity,aux_source,run_type
0,730,515.1681518554688,6.700892925262451,0.048693013256848716,S5_atc5_history_to_y_small,drug,atc5_history,manual
1,744,321.87945556640625,6.186011791229248,-0.18725158529526786,S5_atc5_history_to_y_small,drug,atc5_history,manual
2,758,16068.8076171875,44.436012268066406,-69.12435215978479,S5_atc5_history_to_y_small,drug,atc5_history,manual
3,772,79.51786041259766,3.136904716491699,0.0074299677046534285,S5_atc5_history_to_y_small,drug,atc5_history,manual
4,786,50.831844329833984,2.1502976417541504,0.006023416507204615,S5_atc5_history_to_y_small,drug,atc5_history,manual
5,800,49.75743865966797,2.5520832538604736,0.00029898413605966567,S5_atc5_history_to_y_small,drug,atc5_history,manual
6,814,40.18006134033203,2.263392925262451,-0.003158059251206824,S5_atc5_history_to_y_small,drug,atc5_history,manual
7,828,97.0625,3.235119104385376,0.007562066492109665,S5_atc5_history_to_y_small,drug,atc5_history,manual
8,842,583.6770629882812,10.727678298950195,-6.862073260477553,S5_atc5_history_to_y_small,drug,atc5_history,manual
9,856,215.02529907226562,5.534226417541504,0.002554080264258518,S5_atc5_history_to_y_small,drug,atc5_history,manual
10,870,38.90922546386719,2.2901785373687744,0.008155729299917702,S5_atc5_history_to_y_small,drug,atc5_history,manual
11,884,66.63838958740234,2.799107074737549,0.0060373394875435915,S5_atc5_history_to_y_small,drug,atc5_history,manual
12,898,47.84077453613281,2.4747023582458496,0.009794538145482146,S5_atc5_history_to_y_small,drug,atc5_history,manual
13,912,39.4836311340332,2.0997023582458496,-0.004429119913174073,S5_atc5_history_to_y_small,drug,atc5_history,manual
14,926,55.39583206176758,2.565476179122925,0.007677172793036591,S5_atc5_history_to_y_small,drug,atc5_history,manual
15,940,49.94643020629883,2.625,-0.003138168999441193,S5_atc5_history_to_y_small,drug,atc5_history,manual
16,954,39.33481979370117,2.2395832538604736,0.21691605914943912,S5_atc5_history_to_y_small,drug,atc5_history,manual
17,968,48.311012268066406,2.5401785373687744,0.33235309064814533,S5_atc5_history_to_y_small,drug,atc5_history,manual
18,982,41.77381134033203,2.1636905670166016,-0.13408485705352735,S5_atc5_history_to_y_small,drug,atc5_history,manual
19,996,61.769344329833984,2.3675594329833984,0.2899589685896512,S5_atc5_history_to_y_small,drug,atc5_history,manual
20,1010,85.55208587646484,2.7098214626312256,-0.3752512411282609,S5_atc5_history_to_y_small,drug,atc5_history,manual
21,1024,101.50446319580078,3.1919643878936768,0.22707081272288454,S5_atc5_history_to_y_small,drug,atc5_history,manual
22,1038,53.05208206176758,2.8526785373687744,0.11256318558465106,S5_atc5_history_to_y_small,drug,atc5_history,manual
23,1052,79.17411041259766,2.8348214626312256,-0.10608706014092029,S5_atc5_history_to_y_small,drug,atc5_history,manual
24,1066,70.68154907226562,2.747023820877075,-0.12776316901872664,S5_atc5_history_to_y_small,drug,atc5_history,manual
25,1080,81.51637268066406,3.186011791229248,0.06881187540667799,S5_atc5_history_to_y_small,drug,atc5_history,manual
26,1094,51.2976188659668,2.4910714626312256,0.13406514562374705,S5_atc5_history_to_y_small,drug,atc5_history,manual
27,1108,48.863094329833984,2.5238094329833984,0.03451927352234718,S5_atc5_history_to_y_small,drug,atc5_history,manual
28,1122,54.824405670166016,2.4613094329833984,0.08391970913652458,S5_atc5_history_to_y_small,drug,atc5_history,manual
29,1136,78.21875,2.581845283508301,0.0745788016619563,S5_atc5_history_to_y_small,drug,atc5_history,manual
30,1150,42.76041793823242,2.236607074737549,-0.0032820124879191503,S5_atc5_history_to_y_small,drug,atc5_history,manual
31,1164,79.15327453613281,3.001488208770752,0.1140739389644938,S5_atc5_history_to_y_small,drug,atc5_history,manual
32,1178,54.51041793823242,2.6830356121063232,0.12748012989633006,S5_atc5_history_to_y_small,drug,atc5_history,manual
33,1192,29.05208396911621,1.8169642686843872,0.008934429706814462,S5_atc5_history_to_y_small,drug,atc5_history,manual
34,1206,33.14285659790039,1.8720238208770752,0.08926600920209993,S5_atc5_history_to_y_small,drug,atc5_history,manual
35,1220,40.86606979370117,1.735119104385376,0.0,S5_atc5_history_to_y_small,drug,atc5_history,manual
36,1234,47.88393020629883,2.110119104385376,0.0,S5_atc5_history_to_y_small,drug,atc5_history,manual
37,1248,18.77083396911621,1.422619104385376,-0.0453303277753454,S5_atc5_history_to_y_small,drug,atc5_history,manual
38,1262,20.383928298950195,1.672619104385376,0.008110034591157,S5_atc5_history_to_y_small,drug,atc5_history,manual
39,1276,24.67708396911621,1.6622023582458496,-0.010911964882684977,S5_atc5_history_to_y_small,drug,atc5_history,manual
40,1290,36.32589340209961,2.034226179122925,0.02578116623711868,S5_atc5_history_to_y_small,drug,atc5_history,manual
41,1304,37.33481979370117,1.992559552192688,0.010178762718775936,S5_atc5_history_to_y_small,drug,atc5_history,manual
42,1318,5164.51171875,24.48214340209961,-246.57824976615453,S5_atc5_history_to_y_small,drug,atc5_history,manual
43,1332,26.261905670166016,1.8095238208770752,-0.006444289156062766,S5_atc5_history_to_y_small,drug,atc5_history,manual
44,1346,17.58035659790039,1.5089285373687744,0.013279955586105952,S5_atc5_history_to_y_small,drug,atc5_history,manual
45,1360,29.255952835083008,1.4255952835083008,0.024946695949858433,S5_atc5_history_to_y_small,drug,atc5_history,manual
46,1374,34.49702453613281,2.029761791229248,0.010753605647743303,S5_atc5_history_to_y_small,drug,atc5_history,manual
47,1388,6117.24853515625,18.983631134033203,-254.13846822570653,S5_atc5_history_to_y_small,drug,atc5_history,manual
48,1402,24.796131134033203,1.6264880895614624,-0.0031304630708755,S5_atc5_history_to_y_small,drug,atc5_history,manual
49,1416,28.32589340209961,1.8556547164916992,0.016990247562684968,S5_atc5_history_to_y_small,drug,atc5_history,manual
50,1430,23.793155670166016,1.5997023582458496,0.00812647545017875,S5_atc5_history_to_y_small,drug,atc5_history,manual
51,1444,32.91518020629883,1.7901785373687744,-0.0037210367114448584,S5_atc5_history_to_y_small,drug,atc5_history,manual
52,1458,65.19642639160156,2.922619104385376,0.004747739713686805,S5_atc5_history_to_y_small,drug,atc5_history,manual
53,1472,44.90625,2.28125,-0.3838216853867733,S5_atc5_history_to_y_small,drug,atc5_history,manual
54,1486,48.188987731933594,2.4955356121063232,0.06550658123963882,S5_atc5_history_to_y_small,drug,atc5_history,manual
55,1500,23.66964340209961,1.6339285373687744,0.026560536014493485,S5_atc5_history_to_y_small,drug,atc5_history,manual
56,1514,64.22470092773438,2.7395832538604736,0.0848388956134547,S5_atc5_history_to_y_small,drug,atc5_history,manual
57,1528,47.974700927734375,1.9032738208770752,0.0,S5_atc5_history_to_y_small,drug,atc5_history,manual
58,1542,31.255952835083008,1.6755952835083008,-0.2115129923772907,S5_atc5_history_to_y_small,drug,atc5_history,manual
59,1556,25.224702835083008,1.7068452835083008,0.15100669352928875,S5_atc5_history_to_y_small,drug,atc5_history,manual
60,1570,34.75893020629883,1.9345238208770752,-0.16714141301318208,S5_atc5_history_to_y_small,drug,atc5_history,manual
61,1584,44.967262268066406,2.0565476417541504,-0.18478731185132258,S5_atc5_history_to_y_small,drug,atc5_history,manual
62,1598,44.318450927734375,2.2410714626312256,0.07644123913372347,S5_atc5_history_to_y_small,drug,atc5_history,manual
63,1612,85.07737731933594,2.669642925262451,0.0018507084446762745,S5_atc5_history_to_y_small,drug,atc5_history,manual
64,1626,54.09672546386719,2.4479167461395264,0.03812773010363579,S5_atc5_history_to_y_small,drug,atc5_history,manual
65,1640,60.37946319580078,2.6145832538604736,0.027608041134562167,S5_atc5_history_to_y_small,drug,atc5_history,manual
66,1654,55.54464340209961,2.5,0.030569040130062675,S5_atc5_history_to_y_small,drug,atc5_history,manual
67,1668,50.13839340209961,2.4598214626312256,0.03275537734706313,S5_atc5_history_to_y_small,drug,atc5_history,manual
68,1682,61.72916793823242,2.6636905670166016,0.04337798613122723,S5_atc5_history_to_y_small,drug,atc5_history,manual
69,1696,43.72916793823242,2.2738094329833984,0.01498335884092672,S5_atc5_history_to_y_small,drug,atc5_history,manual
70,1710,62.65922546386719,2.2127976417541504,-0.03693945373397223,S5_atc5_history_to_y_small,drug,atc5_history,manual
71,1724,13287.3701171875,37.126487731933594,-276.41364599141684,S5_atc5_history_to_y_small,drug,atc5_history,manual
72,1738,57.27381134033203,2.095238208770752,0.0008825966748804426,S5_atc5_history_to_y_small,drug,atc5_history,manual
73,1752,51.86160659790039,2.376488208770752,-0.0032240668536174244,S5_atc5_history_to_y_small,drug,atc5_history,manual
74,1766,94.54166412353516,2.684523820877075,-0.0007718332626942548,S5_atc5_history_to_y_small,drug,atc5_history,manual
75,1780,68.54315185546875,2.394345283508301,-0.003048639567201805,S5_atc5_history_to_y_small,drug,atc5_history,manual
76,1794,62.81696319580078,2.3020832538604736,-0.003232172560595492,S5_atc5_history_to_y_small,drug,atc5_history,manual
77,1808,58.07291793823242,2.5044643878936768,0.0008960354712701513,S5_atc5_history_to_y_small,drug,atc5_history,manual
78,1822,1819.0103759765625,16.686012268066406,-18.902551998487407,S5_atc5_history_to_y_small,drug,atc5_history,manual
79,1836,92.90922546386719,3.0877976417541504,-0.016823540197760334,S5_atc5_history_to_y_small,drug,atc5_history,manual
80,1850,146.15774536132812,4.622023582458496,-0.12151738519297783,S5_atc5_history_to_y_small,drug,atc5_history,manual
81,1864,94.41666412353516,3.330357074737549,0.028703574637535145,S5_atc5_history_to_y_small,drug,atc5_history,manual
82,1878,103.1235122680664,3.546130895614624,-0.026682290538387,S5_atc5_history_to_y_small,drug,atc5_history,manual
83,1892,72.43452453613281,2.9732143878936768,-0.016901048204736258,S5_atc5_history_to_y_small,drug,atc5_history,manual
84,1906,91.08928680419922,3.342261791229248,-0.03807215016850596,S5_atc5_history_to_y_small,drug,atc5_history,manual
85,1920,96.39137268066406,3.626488208770752,-0.04929372759678019,S5_atc5_history_to_y_small,drug,atc5_history,manual
86,1934,78.42411041259766,2.528273820877075,-0.0026254627259787444,S5_atc5_history_to_y_small,drug,atc5_history,manual
87,1948,88.2485122680664,2.784226179122925,0.001801035383916072,S5_atc5_history_to_y_small,drug,atc5_history,manual
88,1962,82.58928680419922,2.955357074737549,-0.004270388878044873,S5_atc5_history_to_y_small,drug,atc5_history,manual
89,1976,71.60267639160156,2.674107074737549,0.011220023764165421,S5_atc5_history_to_y_small,drug,atc5_history,manual
90,1990,64.57737731933594,2.6607143878936768,-0.00549128896681661,S5_atc5_history_to_y_small,drug,atc5_history,manual
91,2004,8953.576171875,31.38839340209961,-112.36203626095609,S5_atc5_history_to_y_small,drug,atc5_history,manual
92,2018,86.02232360839844,2.9895832538604736,0.0014682469782885121,S5_atc5_history_to_y_small,drug,atc5_history,manual
93,2032,85.59077453613281,2.6919643878936768,-0.006140039023893262,S5_atc5_history_to_y_small,drug,atc5_history,manual
94,2046,68.60267639160156,2.674107074737549,-0.0009553273693831965,S5_atc5_history_to_y_small,drug,atc5_history,manual
95,2060,42.53868865966797,2.342261791229248,0.033995691848487386,S5_atc5_history_to_y_small,drug,atc5_history,manual
96,2074,35.37946319580078,1.7306547164916992,-0.002826009058020773,S5_atc5_history_to_y_small,drug,atc5_history,manual
97,2088,65.60862731933594,2.3675594329833984,0.014638926456573609,S5_atc5_history_to_y_small,drug,atc5_history,manual
98,2102,48.318450927734375,2.0357143878936768,-0.011242923275016414,S5_atc5_history_to_y_small,drug,atc5_history,manual
99,2116,81.34970092773438,3.840773820877075,-0.6380116564680125,S5_atc5_history_to_y_small,drug,atc5_history,manual
100,2130,54.025299072265625,2.3824405670166016,0.000770602250847241,S5_atc5_history_to_y_small,drug,atc5_history,manual
101,2144,94.45088958740234,2.813988208770752,-0.07366868639387847,S5_atc5_history_to_y_small,drug,atc5_history,manual
102,2158,109.375,2.997023820877075,-0.04403411987399353,S5_atc5_history_to_y_small,drug,atc5_history,manual
103,2172,84.98958587646484,2.983630895614624,0.02302467513321227,S5_atc5_history_to_y_small,drug,atc5_history,manual
104,2186,76.29315185546875,2.6354167461395264,0.00035098042097059245,S5_atc5_history_to_y_small,drug,atc5_history,manual
105,2200,78.92559814453125,3.0267856121063232,0.012879214886312496,S5_atc5_history_to_y_small,drug,atc5_history,manual
106,2214,69.14583587646484,2.5684523582458496,0.010182262187353741,S5_atc5_history_to_y_small,drug,atc5_history,manual
107,2228,36.30506134033203,2.188988208770752,0.026611820159395005,S5_atc5_history_to_y_small,drug,atc5_history,manual
108,2242,70.9375,2.9613094329833984,-0.0447760858607027,S5_atc5_history_to_y_small,drug,atc5_history,manual
109,2256,55.28422546386719,2.7425594329833984,0.029062024703652267,S5_atc5_history_to_y_small,drug,atc5_history,manual
110,2270,76.40625,3.34375,-0.015144576239539909,S5_atc5_history_to_y_small,drug,atc5_history,manual
111,2284,47.480655670166016,2.799107074737549,-0.039282119690582595,S5_atc5_history_to_y_small,drug,atc5_history,manual
112,2298,31.988094329833984,2.0238094329833984,-0.01043525600905948,S5_atc5_history_to_y_small,drug,atc5_history,manual
113,2312,42.894344329833984,2.28125,-0.010835983170016217,S5_atc5_history_to_y_small,drug,atc5_history,manual
114,2326,81.13541412353516,2.700892925262451,0.0,S5_atc5_history_to_y_small,drug,atc5_history,manual
115,2340,41.66071319580078,2.6785714626312256,-0.0774322023907299,S5_atc5_history_to_y_small,drug,atc5_history,manual
116,2354,30.63839340209961,1.8616071939468384,-0.13188565259960683,S5_atc5_history_to_y_small,drug,atc5_history,manual
117,2368,40.69196319580078,1.891369104385376,-0.21592772794981618,S5_atc5_history_to_y_small,drug,atc5_history,manual
118,2382,39.949405670166016,1.8303571939468384,-0.3284180898566482,S5_atc5_history_to_y_small,drug,atc5_history,manual
119,2396,62.949405670166016,2.3839285373687744,-0.2399824347564592,S5_atc5_history_to_y_small,drug,atc5_history,manual
120,2410,57.0148811340332,2.889880895614624,0.048761107252835,S5_atc5_history_to_y_small,drug,atc5_history,manual
121,2424,41.81993865966797,2.108630895614624,-0.00608597415874601,S5_atc5_history_to_y_small,drug,atc5_history,manual
122,2438,31.776784896850586,1.788690447807312,-0.007169138072391723,S5_atc5_history_to_y_small,drug,atc5_history,manual
123,2452,71.64583587646484,2.252976179122925,0.005289017386961414,S5_atc5_history_to_y_small,drug,atc5_history,manual
124,2466,37.47768020629883,1.8794642686843872,-0.003506458486121966,S5_atc5_history_to_y_small,drug,atc5_history,manual
125,2480,42.595237731933594,2.139880895614624,-0.021628979711040275,S5_atc5_history_to_y_small,drug,atc5_history,manual
126,2494,2228.40771484375,19.633928298950195,-49.57549974762626,S5_atc5_history_to_y_small,drug,atc5_history,manual
127,2508,40.306549072265625,2.247023820877075,0.0159490623915296,S5_atc5_history_to_y_small,drug,atc5_history,manual
128,2522,41.7663688659668,2.123511791229248,0.036094504055140364,S5_atc5_history_to_y_small,drug,atc5_history,manual
129,2536,36.83035659790039,2.3125,-0.10550295576136448,S5_atc5_history_to_y_small,drug,atc5_history,manual
