fold_id,t_end,mse,mae,skill_vs_naive,mode,target_granularity,aux_source,lag_window,mollified,run_type
0,730,539.3169555664062,6.58779764175415,0.004099950566613053,S2_y_small_lag,drug,y_small_history,1..14,False,manual
1,744,275.0922546386719,5.38095235824585,-0.014677109004963329,S2_y_small_lag,drug,y_small_history,1..14,False,manual
2,758,1859.0341796875,19.087797164916992,-7.112833920174859,S2_y_small_lag,drug,y_small_history,1..14,False,manual
3,772,82.1235122680664,3.206845283508301,-0.025094699494809136,S2_y_small_lag,drug,y_small_history,1..14,False,manual
4,786,51.59077453613281,2.203869104385376,-0.008816864492075416,S2_y_small_lag,drug,y_small_history,1..14,False,manual
5,800,49.62202453613281,2.6041667461395264,0.0030196554669605913,S2_y_small_lag,drug,y_small_history,1..14,False,manual
6,814,40.345237731933594,2.345238208770752,-0.007281946146989515,S2_y_small_lag,drug,y_small_history,1..14,False,manual
7,828,97.89286041259766,3.309523820877075,-0.0009281451956706377,S2_y_small_lag,drug,y_small_history,1..14,False,manual
8,842,732.2723388671875,9.745535850524902,-8.863637171760272,S2_y_small_lag,drug,y_small_history,1..14,False,manual
9,856,215.21725463867188,5.559523582458496,0.0016636487787144993,S2_y_small_lag,drug,y_small_history,1..14,False,manual
10,870,38.811012268066406,2.3080356121063232,0.01065930510747548,S2_y_small_lag,drug,y_small_history,1..14,False,manual
11,884,66.5014877319336,2.8169643878936768,0.008079335600194804,S2_y_small_lag,drug,y_small_history,1..14,False,manual
12,898,47.686012268066406,2.4895832538604736,0.012997798222565748,S2_y_small_lag,drug,y_small_history,1..14,False,manual
13,912,39.275299072265625,2.0997023582458496,0.0008706659332836653,S2_y_small_lag,drug,y_small_history,1..14,False,manual
14,926,55.375,2.580357074737549,0.008050344016581112,S2_y_small_lag,drug,y_small_history,1..14,False,manual
15,940,50.005950927734375,2.6458332538604736,-0.004333599929575049,S2_y_small_lag,drug,y_small_history,1..14,False,manual
16,954,43.956844329833984,2.5074405670166016,0.12490004871782512,S2_y_small_lag,drug,y_small_history,1..14,False,manual
17,968,62.09375,2.9925594329833984,0.14187887333982396,S2_y_small_lag,drug,y_small_history,1..14,False,manual
18,982,37.71875,2.168154716491699,-0.023997136710574685,S2_y_small_lag,drug,y_small_history,1..14,False,manual
19,996,77.99404907226562,2.8065476417541504,0.10345535236006476,S2_y_small_lag,drug,y_small_history,1..14,False,manual
20,1010,68.94493865966797,2.516369104385376,-0.10829106607795747,S2_y_small_lag,drug,y_small_history,1..14,False,manual
21,1024,122.97618865966797,3.5089285373687744,0.06356939820665275,S2_y_small_lag,drug,y_small_history,1..14,False,manual
22,1038,57.32589340209961,2.9627976417541504,0.04107235291835465,S2_y_small_lag,drug,y_small_history,1..14,False,manual
23,1052,72.57440185546875,2.800595283508301,-0.013887069541719477,S2_y_small_lag,drug,y_small_history,1..14,False,manual
24,1066,62.60714340209961,2.622023820877075,0.0010684347880760559,S2_y_small_lag,drug,y_small_history,1..14,False,manual
25,1080,85.55208587646484,3.293154716491699,0.02271060668467484,S2_y_small_lag,drug,y_small_history,1..14,False,manual
26,1094,57.00446319580078,2.668154716491699,0.03773015926473444,S2_y_small_lag,drug,y_small_history,1..14,False,manual
27,1108,50.12053680419922,2.53125,0.009673600314280217,S2_y_small_lag,drug,y_small_history,1..14,False,manual
28,1122,57.65922546386719,2.575892925262451,0.03655170743336189,S2_y_small_lag,drug,y_small_history,1..14,False,manual
29,1136,81.52678680419922,2.6160714626312256,0.03544077678315949,S2_y_small_lag,drug,y_small_history,1..14,False,manual
30,1150,43.41518020629883,2.2901785373687744,-0.01864461270748974,S2_y_small_lag,drug,y_small_history,1..14,False,manual
