fold_id,t_end,mse,mae,skill_vs_naive,mode,target_granularity,aux_source,lag_window,mollified,run_type
0,730,538.0401611328125,6.921131134033203,0.006457672915981538,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
1,744,271.49700927734375,5.175595283508301,-0.0014160552752335853,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
2,758,10335.4912109375,29.011905670166016,-44.104132346753254,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
3,772,81.56845092773438,3.672619104385376,-0.018166227706954308,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
4,786,53.6726188659668,2.7113094329833984,-0.049525686719832374,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
5,800,51.33035659790039,3.1041667461395264,-0.03130327882359207,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
6,814,41.50297546386719,2.794642925262451,-0.036186678931023675,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
7,828,101.45088958740234,3.8348214626312256,-0.03730803569513186,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
8,842,4793.84814453125,18.116071701049805,-63.572668178783275,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
9,856,211.92112731933594,5.90029764175415,0.01695351820238733,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
10,870,39.57143020629883,2.654761791229248,-0.008724688441144268,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
11,884,65.47916412353516,3.1517856121063232,0.023328075853373154,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
12,898,47.79018020629883,2.8377976417541504,0.010841736528582002,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
13,912,38.412200927734375,2.438988208770752,0.022827129531257206,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
14,926,54.60118865966797,2.9136905670166016,0.021911868040751292,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
15,940,49.00893020629883,2.970238208770752,0.015690844997206188,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
16,954,49.03125,3.0104167461395264,0.02387796165835021,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
17,968,70.38392639160156,3.610119104385376,0.027310571290540042,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
18,982,37.51041793823242,2.5580356121063232,-0.018341290884957173,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
19,996,84.77083587646484,3.330357074737549,0.025555922727012792,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
20,1010,64.94345092773438,2.8690476417541504,-0.04396708246816616,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
21,1024,128.20237731933594,4.014881134033203,0.023773377163893827,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
22,1038,59.33631134033203,3.4285714626312256,0.007442779461251936,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
23,1052,72.69345092773438,3.1309523582458496,-0.015550222277741277,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
24,1066,63.58928680419922,2.967261791229248,-0.014602205854650219,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
25,1080,89.92559814453125,3.684523820877075,-0.027249451066430952,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
26,1094,60.369049072265625,3.0684523582458496,-0.019066086747883793,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
27,1108,51.998512268066406,2.858630895614624,-0.027433118775645582,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
28,1122,59.85118865966797,2.9613094329833984,-7.457710954428265e-05,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
29,1136,86.60713958740234,3.002976179122925,-0.024665862106005187,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
30,1150,42.8913688659668,2.546130895614624,-0.006354496730339054,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
31,1164,88.23958587646484,3.596726179122925,0.01237505079773904,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
32,1178,61.73958206176758,3.2276785373687744,0.011766664826729167,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
33,1192,29.6011905670166,2.220238208770752,-0.009797467260659998,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
34,1206,38.373512268066406,2.3526785373687744,-0.05446740432875852,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
35,1220,40.29018020629883,2.061011791229248,0.014092120683724452,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
36,1234,47.1413688659668,2.409226179122925,0.015507526995650611,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
37,1248,19.278274536132812,1.733630895614624,-0.07358922213873442,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
38,1262,20.98214340209961,2.011904716491699,-0.020999347529289336,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
39,1276,25.535715103149414,1.9880952835083008,-0.04608631886637582,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
40,1290,35.98660659790039,2.361607074737549,0.03488044952354141,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
41,1304,37.14285659790039,2.2886905670166016,0.015268093510511616,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
42,1318,13237.091796875,31.110118865966797,-633.564543084712,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
43,1332,26.29166603088379,2.202380895614624,-0.0075848059739895834,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
44,1346,18.0074405670166,1.891369104385376,-0.01069067951609326,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
45,1360,30.2261905670166,1.8184523582458496,-0.007389748929198969,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
46,1374,36.105655670166016,2.436011791229248,-0.03537595394712367,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
47,1388,9272.3408203125,26.686012268066406,-385.7311946155537,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
48,1402,25.264881134033203,1.9702380895614624,-0.02209380061828381,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
49,1416,29.5386905670166,2.202380895614624,-0.025098149223887756,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
50,1430,24.48214340209961,1.9285714626312256,-0.02059559485937057,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
51,1444,33.36756134033203,2.1026785373687744,-0.017516023036739492,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
52,1458,66.43006134033203,3.293154716491699,-0.014084242943116498,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
53,1472,45.6101188659668,2.5714285373687744,-0.40551196236143605,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
54,1486,50.842262268066406,2.922619104385376,0.014053589407285294,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
55,1500,25.70535659790039,2.065476179122925,-0.057160351895999995,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
56,1514,73.51786041259766,3.4375,-0.04758271125361824,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
57,1528,46.69791793823242,2.233630895614624,0.026613672723571624,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
58,1542,26.290178298950195,2.063988208770752,-0.019034445986969573,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
59,1556,31.748512268066406,2.3199405670166016,-0.06856657865174554,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
60,1570,30.462797164916992,2.2395832538604736,-0.022885109420087923,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
61,1584,38.26041793823242,2.391369104385376,-0.008076886004644068,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
62,1598,47.43006134033203,2.6145832538604736,0.011597929026986309,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
63,1612,85.18303680419922,2.936011791229248,0.0006110846658834435,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
64,1626,55.62053680419922,2.736607074737549,0.011033449252977223,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
65,1640,61.30803680419922,2.8824405670166016,0.012653659922307492,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
66,1654,56.39881134033203,2.7738094329833984,0.015661088732187967,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
67,1668,51.80356979370117,2.767857074737549,0.0006316334203623208,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
68,1682,63.443450927734375,2.949404716491699,0.016811601057006187,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
69,1696,45.91666793823242,2.5535714626312256,-0.03429093573469899,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
70,1710,61.755950927734375,2.4613094329833984,-0.021991279747852976,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
71,1724,9191.5341796875,27.543155670166016,-190.90080403823035,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
72,1738,57.40327453613281,2.3050594329833984,-0.001375833993301212,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
73,1752,51.99702453613281,2.6339285373687744,-0.005843625784210937,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
74,1766,93.69196319580078,2.8854167461395264,0.008222685323974521,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
75,1780,67.57291412353516,2.611607074737549,0.011149651738760591,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
76,1794,62.33928680419922,2.517857074737549,0.004396663660499844,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
77,1808,58.16666793823242,2.7589285373687744,-0.0007168677545363877,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
78,1822,10047.82421875,31.883928298950195,-108.9374399543885,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
79,1836,87.19047546386719,2.892857074737549,0.045763997169746884,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
80,1850,1944.110107421875,16.8988094329834,-13.917808692333045,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
81,1864,97.60118865966797,3.3065476417541504,-0.004056715372052766,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
82,1878,101.88838958740234,3.516369104385376,-0.014385593548628117,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
83,1892,72.13095092773438,2.8541667461395264,-0.012639208666689994,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
84,1906,88.97618865966797,3.1666667461395264,-0.013990851353138378,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
85,1920,92.47172546386719,3.311011791229248,-0.006625373317786121,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
86,1934,77.94791412353516,2.6026785373687744,0.0034625441657510914,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
87,1948,88.63392639160156,2.892857074737549,-0.002558471299806353,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
88,1962,82.47321319580078,3.1339285373687744,-0.00285895535736147,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
89,1976,72.4375,2.889880895614624,-0.00030827251290133084,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
90,1990,64.42112731933594,2.831845283508301,-0.0030584243875666495,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
91,2004,1964.6279296875,14.294642448425293,-23.874331588769195,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
92,2018,84.1577377319336,3.184523820877075,0.02311202647396582,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
93,2032,84.83036041259766,2.8958332538604736,0.002798810987389211,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
94,2046,67.79017639160156,2.888392925262451,0.010899548362362732,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
95,2060,44.238094329833984,2.574404716491699,-0.004595840951487018,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
96,2074,34.33631134033203,1.913690447807312,0.026741986540775087,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
97,2088,65.62053680419922,2.6026785373687744,0.014460060608136982,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
98,2102,46.873512268066406,2.2098214626312256,0.01899778117846629,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
99,2116,49.050594329833984,2.3809523582458496,0.012344921337505865,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
100,2130,56.15178680419922,2.622023820877075,-0.03856002788335555,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
101,2144,87.04315185546875,2.950892925262451,0.010538631023027323,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
102,2158,105.90178680419922,3.199404716491699,-0.010880720267021138,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
103,2172,88.35416412353516,3.169642925262451,-0.01565194497350486,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
104,2186,76.4077377319336,2.8809523582458496,-0.0011504080559754382,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
105,2200,79.76041412353516,3.2247023582458496,0.0024381891102298603,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
106,2214,68.4672622680664,2.6339285373687744,0.01989599527757624,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
107,2228,37.00893020629883,1.9166666269302368,0.007740136460330227,S3_y_small_lag_lr_low,drug,y_small_history,1..14,False,manual
