fold_id,t_end,mse,mae,skill_vs_naive,mode,target_granularity,aux_source,lag_window,mollified,run_type
0,730,540.6934814453125,6.622023582458496,0.001558064618656263,S4_y_large_lag,drug,y_large_history,1..14,False,manual
1,744,269.203857421875,4.831845283508301,0.007042229739997352,S4_y_large_lag,drug,y_large_history,1..14,False,manual
2,758,1829.3646240234375,18.421131134033203,-6.983355839449961,S4_y_large_lag,drug,y_large_history,1..14,False,manual
3,772,79.31993865966797,3.1324405670166016,0.00990049696283557,S4_y_large_lag,drug,y_large_history,1..14,False,manual
4,786,54.238094329833984,2.1934523582458496,-0.06058311296580121,S4_y_large_lag,drug,y_large_history,1..14,False,manual
5,800,49.956844329833984,2.5580356121063232,-0.0037073726299605703,S4_y_large_lag,drug,y_large_history,1..14,False,manual
6,814,40.0788688659668,2.313988208770752,-0.0006316308982177166,S4_y_large_lag,drug,y_large_history,1..14,False,manual
7,828,102.30059814453125,3.300595283508301,-0.04599607695227004,S4_y_large_lag,drug,y_large_history,1..14,False,manual
8,842,2874.395751953125,17.556547164916992,-37.71783116807977,S4_y_large_lag,drug,y_large_history,1..14,False,manual
9,856,199.30357360839844,5.25,0.0754830378464525,S4_y_large_lag,drug,y_large_history,1..14,False,manual
10,870,37.775299072265625,2.221726179122925,0.03706091519085897,S4_y_large_lag,drug,y_large_history,1..14,False,manual
11,884,63.355655670166016,2.6919643878936768,0.0550018321521073,S4_y_large_lag,drug,y_large_history,1..14,False,manual
12,898,42.206844329833984,2.3377976417541504,0.12640528527648387,S4_y_large_lag,drug,y_large_history,1..14,False,manual
13,912,40.199405670166016,2.136904716491699,-0.02263779947822142,S4_y_large_lag,drug,y_large_history,1..14,False,manual
14,926,51.748512268066406,2.4270832538604736,0.07301275048375244,S4_y_large_lag,drug,y_large_history,1..14,False,manual
15,940,49.125,2.6160714626312256,0.013359666575673002,S4_y_large_lag,drug,y_large_history,1..14,False,manual
16,954,50.907737731933594,2.669642925262451,-0.01347945896254199,S4_y_large_lag,drug,y_large_history,1..14,False,manual
17,968,73.4360122680664,3.299107074737549,-0.014868542887225278,S4_y_large_lag,drug,y_large_history,1..14,False,manual
18,982,37.47321319580078,2.1636905670166016,-0.017331248141704725,S4_y_large_lag,drug,y_large_history,1..14,False,manual
19,996,87.92708587646484,2.986607074737549,-0.010725294593704415,S4_y_large_lag,drug,y_large_history,1..14,False,manual
20,1010,62.0148811340332,2.4285714626312256,0.0031097269661931604,S4_y_large_lag,drug,y_large_history,1..14,False,manual
21,1024,132.23214721679688,3.657738208770752,-0.0069122367854159705,S4_y_large_lag,drug,y_large_history,1..14,False,manual
22,1038,60.543155670166016,3.046130895614624,-0.01274489359399511,S4_y_large_lag,drug,y_large_history,1..14,False,manual
23,1052,79.0625,2.863095283508301,-0.10452782780464376,S4_y_large_lag,drug,y_large_history,1..14,False,manual
24,1066,63.99702453613281,2.6607143878936768,-0.021107886654370578,S4_y_large_lag,drug,y_large_history,1..14,False,manual
25,1080,82.27529907226562,3.203869104385376,0.060142411591496914,S4_y_large_lag,drug,y_large_history,1..14,False,manual
26,1094,56.86756134033203,2.653273820877075,0.04004114544498816,S4_y_large_lag,drug,y_large_history,1..14,False,manual
27,1108,50.77083206176758,2.5267856121063232,-0.003175515082792124,S4_y_large_lag,drug,y_large_history,1..14,False,manual
28,1122,59.50297546386719,2.5863094329833984,0.0057438397395283,S4_y_large_lag,drug,y_large_history,1..14,False,manual
29,1136,78.44345092773438,2.5833332538604736,0.07192032141506399,S4_y_large_lag,drug,y_large_history,1..14,False,manual
30,1150,42.15922546386719,2.2455356121063232,0.010823686769862118,S4_y_large_lag,drug,y_large_history,1..14,False,manual
31,1164,102.8735122680664,3.8675594329833984,-0.1514157315997331,S4_y_large_lag,drug,y_large_history,1..14,False,manual
32,1178,81.19047546386719,3.735119104385376,-0.29957365554709403,S4_y_large_lag,drug,y_large_history,1..14,False,manual
33,1192,29.959821701049805,2.2425594329833984,-0.0220315971686329,S4_y_large_lag,drug,y_large_history,1..14,False,manual
34,1206,39.09375,2.331845283508301,-0.07425884813474193,S4_y_large_lag,drug,y_large_history,1..14,False,manual
35,1220,38.78125,1.8467261791229248,0.051015911347132126,S4_y_large_lag,drug,y_large_history,1..14,False,manual
36,1234,44.761905670166016,2.1488094329833984,0.06519983891635794,S4_y_large_lag,drug,y_large_history,1..14,False,manual
37,1248,18.2261905670166,1.3630952835083008,-0.01499964204373705,S4_y_large_lag,drug,y_large_history,1..14,False,manual
38,1262,20.602678298950195,1.6473214626312256,-0.0025344264151327955,S4_y_large_lag,drug,y_large_history,1..14,False,manual
39,1276,24.412202835083008,1.5997023582458496,-6.09458562481624e-05,S4_y_large_lag,drug,y_large_history,1..14,False,manual
40,1290,36.4523811340332,2.014880895614624,0.022388910213966495,S4_y_large_lag,drug,y_large_history,1..14,False,manual
41,1304,37.529762268066406,1.9553571939468384,0.005010445254246099,S4_y_large_lag,drug,y_large_history,1..14,False,manual
42,1318,10131.7158203125,34.498512268066406,-484.6978948879508,S4_y_large_lag,drug,y_large_history,1..14,False,manual
43,1332,25.26041603088379,1.8556547164916992,0.0319361521098428,S4_y_large_lag,drug,y_large_history,1..14,False,manual
44,1346,16.659225463867188,1.5282738208770752,0.06497962097246168,S4_y_large_lag,drug,y_large_history,1..14,False,manual
45,1360,30.0625,1.5178571939468384,-0.0019342086803104674,S4_y_large_lag,drug,y_large_history,1..14,False,manual
46,1374,34.688987731933594,2.0848214626312256,0.005248814963684234,S4_y_large_lag,drug,y_large_history,1..14,False,manual
47,1388,690.9613037109375,9.776785850524902,-27.81864413696621,S4_y_large_lag,drug,y_large_history,1..14,False,manual
48,1402,24.369047164916992,1.6190476417541504,0.014147270192991446,S4_y_large_lag,drug,y_large_history,1..14,False,manual
49,1416,28.41666603088379,1.8392857313156128,0.013840112875578958,S4_y_large_lag,drug,y_large_history,1..14,False,manual
50,1430,23.684524536132812,1.5833333730697632,0.012655019174391935,S4_y_large_lag,drug,y_large_history,1..14,False,manual
51,1444,32.404762268066406,1.7946428060531616,0.011843733674370194,S4_y_large_lag,drug,y_large_history,1..14,False,manual
52,1458,80.11012268066406,3.238095283508301,-0.22291642475691487,S4_y_large_lag,drug,y_large_history,1..14,False,manual
53,1472,44.894344329833984,2.263392925262451,-0.38345480272445354,S4_y_large_lag,drug,y_large_history,1..14,False,manual
54,1486,48.73958206176758,2.513392925262451,0.054829312389360285,S4_y_large_lag,drug,y_large_history,1..14,False,manual
55,1500,24.339284896850586,1.6994047164916992,-0.00097918846040157,S4_y_large_lag,drug,y_large_history,1..14,False,manual
56,1514,69.375,3.044642925262451,0.011450412384874542,S4_y_large_lag,drug,y_large_history,1..14,False,manual
57,1528,47.99256134033203,1.921130895614624,-0.0003722881488008589,S4_y_large_lag,drug,y_large_history,1..14,False,manual
58,1542,26.01785659790039,1.711309552192688,-0.008478975780417342,S4_y_large_lag,drug,y_large_history,1..14,False,manual
59,1556,28.953868865966797,1.921130895614624,0.02549334181063545,S4_y_large_lag,drug,y_large_history,1..14,False,manual
60,1570,30.3199405670166,1.9092261791229248,-0.018088245692057914,S4_y_large_lag,drug,y_large_history,1..14,False,manual
61,1584,38.355655670166016,2.043154716491699,-0.010586188344016145,S4_y_large_lag,drug,y_large_history,1..14,False,manual
62,1598,42.35268020629883,2.144345283508301,0.1174062262583091,S4_y_large_lag,drug,y_large_history,1..14,False,manual
63,1612,85.23512268066406,2.672619104385376,0.0,S4_y_large_lag,drug,y_large_history,1..14,False,manual
64,1626,54.306549072265625,2.404761791229248,0.03439694032370999,S4_y_large_lag,drug,y_large_history,1..14,False,manual
65,1640,56.255950927734375,2.532738208770752,0.0940158884310518,S4_y_large_lag,drug,y_large_history,1..14,False,manual
66,1654,53.07589340209961,2.436011791229248,0.0736565916128118,S4_y_large_lag,drug,y_large_history,1..14,False,manual
67,1668,49.31696319580078,2.450892925262451,0.04860199499903517,S4_y_large_lag,drug,y_large_history,1..14,False,manual
68,1682,61.96577453613281,2.638392925262451,0.03971127414177367,S4_y_large_lag,drug,y_large_history,1..14,False,manual
69,1696,43.2648811340332,2.235119104385376,0.025441601015869897,S4_y_large_lag,drug,y_large_history,1..14,False,manual
70,1710,65.30803680419922,2.1800594329833984,-0.08077429152449245,S4_y_large_lag,drug,y_large_history,1..14,False,manual
71,1724,81.11607360839844,3.0089285373687744,-0.6935409738535256,S4_y_large_lag,drug,y_large_history,1..14,False,manual
72,1738,55.83481979370117,2.061011791229248,0.02598519529422849,S4_y_large_lag,drug,y_large_history,1..14,False,manual
73,1752,51.85416793823242,2.3958332538604736,-0.003080171535026599,S4_y_large_lag,drug,y_large_history,1..14,False,manual
