fold_id,t_end,mse,mae,skill_vs_naive,mode,target_granularity,aux_source,lag_window,mollified,run_type
0,730,541.5372314453125,6.617559432983398,0.0,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
1,744,223.9345245361328,3.9583332538604736,0.17401805346655508,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
2,758,2787.43603515625,12.799107551574707,-11.164383992194654,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
3,772,78.4702377319336,2.8035714626312256,0.02050676419521047,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
4,786,21.508928298950195,1.3571428060531616,0.5794098886820414,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
5,800,35.5461311340332,1.8526785373687744,0.2858253084974418,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
6,814,47.40922546386719,2.1026785373687744,-0.18364544553835915,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
7,828,52.412200927734375,2.1502976417541504,0.46409935475264863,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
8,842,176.64434814453125,5.436011791229248,-1.3793821861893005,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
9,856,52.712799072265625,2.1205356121063232,0.7554791618505743,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
10,870,57.31547546386719,2.220238208770752,-0.46104234364879293,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
11,884,38.69493865966797,1.9360119104385376,0.42283532935494594,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
12,898,41.51339340209961,1.90625,0.14075829069557566,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
13,912,37.599700927734375,1.828869104385376,0.04349642048778257,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
14,926,41.793155670166016,2.0997023582458496,0.2513461600093426,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
15,940,40.96131134033203,1.9494047164916992,0.17732148848197737,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
16,954,29.501487731933594,1.5401785373687744,0.412679620874316,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
17,968,29.456844329833984,1.6830357313156128,0.5929132892735491,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
18,982,52.40327453613281,2.1145832538604736,-0.42265592256525375,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
19,996,35.081844329833984,1.703869104385376,0.5967328259351208,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
20,1010,99.44493865966797,2.8020832538604736,-0.5985790868163385,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
21,1024,73.35416412353516,2.502976179122925,0.4414277690427534,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
22,1038,58.599700927734375,2.361607074737549,0.019764542766597004,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
23,1052,113.75,3.125,-0.5891230407940329,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
24,1066,134.70684814453125,3.2604167461395264,-1.1493221915195835,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
25,1080,84.84375,2.8497023582458496,0.030802158537348467,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
26,1094,38.5148811340332,1.9166666269302368,0.3498454952994987,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
27,1108,53.31993865966797,2.328869104385376,-0.053543043454960415,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
28,1122,65.22767639160156,2.361607074737549,-0.08991220298231939,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
29,1136,48.06993865966797,2.028273820877075,0.43127523466603357,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
30,1150,50.16518020629883,2.21875,-0.17701896709466758,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
31,1164,30.318452835083008,1.7916666269302368,0.6606595538304036,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
