fold_id,t_end,date,mse_s1,mse_s8,skill_s1,skill_s8,delta_mse_s8_minus_s1,s1_cat500,s8_cat500,both_cat500,only_s1_cat500,only_s8_cat500
0,730,2020-01-02,541.5565185546875,539.2767944335938,-3.561548173425244e-05,0.0041741119178193,-2.27972412109375,True,True,True,False,False
1,744,2020-01-16,274.1502990722656,142.90475463867188,-0.0112027082000856,0.4728961617247688,-131.24554443359375,False,False,False,False,False
2,758,2020-01-30,215.54017639160156,5862.18017578125,0.0593816545728058,-24.582581910489292,5646.639999389648,False,True,False,False,True
3,772,2020-02-13,77.11161041259766,68.92262268066406,0.0374656304830284,0.1396834690337223,-8.188987731933594,False,False,False,False,False
4,786,2020-02-27,47.3288688659668,18.4300594329834,0.0745213360601694,0.6396147385505295,-28.8988094329834,False,False,False,False,False
5,800,2020-03-12,46.95089340209961,32.49553680419922,0.0566866564246142,0.3471162899601955,-14.45535659790039,False,False,False,False,False
6,814,2020-03-26,38.0,42.19791793823242,0.0512705809813764,-0.0535370044561789,4.197917938232422,False,False,False,False,False
7,828,2020-04-09,87.29166412353516,47.199405670166016,0.1074662330433887,0.5173987829893093,-40.09225845336914,False,False,False,False,False
8,842,2020-04-23,3976.06689453125,1469.671142578125,-52.55723429205884,-18.796327326282064,-2506.395751953125,True,True,True,False,False
9,856,2020-05-07,160.8095245361328,52.886905670166016,0.2540468270698532,0.7546715270446975,-107.9226188659668,False,False,False,False,False
10,870,2020-05-21,34.470237731933594,56.02827453613281,0.1213110156654843,-0.4282300002985308,21.55803680419922,False,False,False,False,False
11,884,2020-06-04,51.84375,38.69493865966797,0.2267107293558562,0.4228353293549459,-13.148811340332031,False,False,False,False,False
12,898,2020-06-18,35.96875,41.51339340209961,0.2555209849460199,0.1407582906955756,5.544643402099609,False,False,False,False,False
13,912,2020-07-02,33.431549072265625,37.592262268066406,0.1495305662744465,0.0436856534982488,4.160713195800781,False,False,False,False,False
14,926,2020-07-16,40.89881134033203,41.80208206176758,0.2673668290894246,0.2511862587709075,0.9032707214355469,False,False,False,False,False
15,940,2020-07-30,39.47172546386719,40.894344329833984,0.2072387506869533,0.1786664727784909,1.4226188659667969,False,False,False,False,False
16,954,2020-08-13,40.70981979370117,26.546131134033203,0.189542337232911,0.4715153370016628,-14.163688659667969,False,False,False,False,False
17,968,2020-08-27,50.900299072265625,27.933034896850582,0.2965697515896126,0.6139719798413941,-22.967264175415043,False,False,False,False,False
18,982,2020-09-10,36.99106979370117,47.654762268066406,-0.0042419102597786,-0.2937422399502405,10.663692474365234,False,False,False,False,False
19,996,2020-09-24,74.23958587646484,34.45535659790039,0.1466130537872274,0.6039343269413928,-39.78422927856445,False,False,False,False,False
20,1010,2020-10-08,79.02083587646484,90.32588958740234,-0.2702612858676854,-0.4519902172865915,11.3050537109375,False,False,False,False,False
21,1024,2020-10-22,113.9360122680664,63.48958206176758,0.1324079100435532,0.5165439083313542,-50.44643020629883,False,False,False,False,False
22,1038,2020-11-05,51.46577453613281,54.5163688659668,0.1390983872680344,0.0880691041761957,3.0505943298339844,False,False,False,False,False
23,1052,2020-11-19,73.27529907226562,136.07440185546875,-0.0236788226532829,-0.90100190989707,62.799102783203125,False,False,False,False,False
24,1066,2020-12-03,63.65178680419922,111.42262268066406,-0.0155994278876818,-0.7778095090452677,47.770835876464844,False,False,False,False,False
25,1080,2020-12-17,82.7202377319336,98.70982360839844,0.0550597320949696,-0.1275945249051209,15.989585876464844,False,False,False,False,False
26,1094,2020-12-31,48.91964340209961,43.27827453613281,0.1742068107250931,0.2694365316249585,-5.641368865966797,False,False,False,False,False
27,1108,2021-01-14,46.168155670166016,59.561012268066406,0.0877682822197009,-0.1768597585357325,13.39285659790039,False,False,False,False,False
28,1122,2021-01-28,51.717262268066406,74.4702377319336,0.135838061862031,-0.2443494135179615,22.752975463867188,False,False,False,False,False
29,1136,2021-02-11,82.74404907226562,49.369049072265625,0.02103911085516,0.4159052074692355,-33.375,False,False,False,False,False
30,1150,2021-02-25,39.69643020629883,54.0788688659668,0.0686079251261868,-0.2688453248350133,14.382438659667969,False,False,False,False,False
31,1164,2021-03-11,81.64286041259766,33.11160659790039,0.0862091535583096,0.6293970732133862,-48.531253814697266,False,False,False,False,False
32,1178,2021-03-25,40.811012268066406,25.11458396911621,0.3467593816051517,0.5980039344539367,-15.696428298950195,False,False,False,False,False
33,1192,2021-04-08,30.165178298950195,53.662200927734375,-0.029037010412928,-0.8306005112118104,23.49702262878418,False,False,False,False,False
34,1206,2021-04-22,34.20089340209961,28.897321701049805,0.0601921700701871,0.2059292463693341,-5.303571701049805,False,False,False,False,False
35,1220,2021-05-06,40.86606979370117,39.9375,0.0,0.0227222680915671,-0.9285697937011719,False,False,False,False,False
36,1234,2021-05-20,47.88393020629883,46.69643020629883,0.0,0.0247995516425632,-1.1875,False,False,False,False,False
37,1248,2021-06-03,20.723215103149418,25.409225463867188,-0.154056621670396,-0.4150161908822485,4.68601036071777,False,False,False,False,False
38,1262,2021-06-17,24.157737731933594,29.909225463867188,-0.1755250161725492,-0.4553946705301348,5.751487731933594,False,False,False,False,False
39,1276,2021-07-01,28.599702835083008,36.168155670166016,-0.1716044660810916,-0.4816508044657686,7.568452835083008,False,False,False,False,False
40,1290,2021-07-15,38.380950927734375,38.3898811340332,-0.0293331216285119,-0.029572619527969,0.008930206298828125,False,False,False,False,False
41,1304,2021-07-29,36.91518020629883,63.27231979370117,0.0213042530227319,-0.6774765811088961,26.357139587402344,False,False,False,False,False
42,1318,2021-08-12,17.23214340209961,21.790178298950195,0.1739192133648968,-0.0445855289204888,4.558034896850586,False,False,False,False,False
43,1332,2021-08-26,18.936012268066406,23.058034896850582,0.274308511882485,0.1163387823961452,4.122022628784176,False,False,False,False,False
44,1346,2021-09-09,16.994047164916992,24.4925594329834,0.0461873239055151,-0.3746762869650553,7.498512268066406,False,False,False,False,False
45,1360,2021-09-23,30.004465103149418,30.004465103149418,0.0,0.0,0.0,False,False,False,False,False
46,1374,2021-10-07,34.587799072265625,45.02381134033203,0.0081505294759324,-0.2911154984328596,10.436012268066406,False,False,False,False,False
47,1388,2021-10-21,20.464284896850582,63.025299072265625,0.1464747145861131,-1.6286619175845152,42.56101417541504,False,False,False,False,False
48,1402,2021-11-04,29.894344329833984,36.70535659790039,-0.2093792902082016,-0.4849196095231511,6.811012268066406,False,False,False,False,False
49,1416,2021-11-18,25.82589340209961,31.563987731933594,0.103749183854916,-0.0953832003054355,5.738094329833984,False,False,False,False,False
50,1430,2021-12-02,19.449405670166016,19.095237731933594,0.1892058867728898,0.2039702083301859,-0.3541679382324219,False,False,False,False,False
51,1444,2021-12-16,35.654762268066406,32.64583206176758,-0.0872623124984515,0.0044925108727021,-3.008930206298828,False,False,False,False,False
52,1458,2021-12-30,56.88393020629883,49.206844329833984,0.1316416674169023,0.2488357759569989,-7.677085876464844,False,False,False,False,False
53,1472,2022-01-13,39.63541793823242,42.543155670166016,-0.2213968178659748,-0.3110010606799942,2.9077377319335938,False,False,False,False,False
54,1486,2022-01-27,35.91368865966797,30.5863094329834,0.3035523824953007,0.4068623099474255,-5.32737922668457,False,False,False,False,False
55,1500,2022-02-10,23.452381134033203,29.565475463867188,0.0354956797417571,-0.2159118791570209,6.113094329833984,False,False,False,False,False
56,1514,2022-02-24,57.35118865966797,58.212799072265625,0.1827820699278987,0.1705046700279591,0.8616104125976562,False,False,False,False,False
57,1528,2022-03-10,47.974700927734375,47.974700927734375,0.0,0.0,0.0,False,False,False,False,False
58,1542,2022-03-24,32.619049072265625,41.099700927734375,-0.2643480094353445,-0.5930668285652649,8.48065185546875,False,False,False,False,False
59,1556,2022-04-07,22.89583396911621,30.42708396911621,0.2293899391825904,-0.0240909791521408,7.53125,False,False,False,False,False
60,1570,2022-04-21,32.03125,41.43452453613281,-0.0755508919202518,-0.391295682220619,9.403274536132812,False,False,False,False,False
