fold_id,t_end,mse,mae,skill_vs_naive,mode,target_granularity,aux_source,run_type
0,730,536.8824462890625,6.644345283508301,0.008595503477806687,S4_gru_h32_L2,drug,none,manual
1,744,268.7425537109375,4.742559432983398,0.008743747350524522,S4_gru_h32_L2,drug,none,manual
2,758,233.36012268066406,5.154761791229248,-0.01838467500264196,S4_gru_h32_L2,drug,none,manual
3,772,79.11161041259766,3.09375,0.012500923758145266,S4_gru_h32_L2,drug,none,manual
4,786,49.72172546386719,2.108630895614624,0.027730914478450774,S4_gru_h32_L2,drug,none,manual
5,800,54.113094329833984,2.752976179122925,-0.08721262248021944,S4_gru_h32_L2,drug,none,manual
6,814,42.05952453613281,2.377976179122925,-0.05008179677275848,S4_gru_h32_L2,drug,none,manual
7,828,68.2202377319336,2.6517856121063232,0.3024664339152898,S4_gru_h32_L2,drug,none,manual
8,842,103.29315185546875,3.3705356121063232,-0.3913487075123132,S4_gru_h32_L2,drug,none,manual
9,856,168.09225463867188,4.547618865966797,0.22026415379068287,S4_gru_h32_L2,drug,none,manual
10,870,61.1413688659668,3.001488208770752,-0.558569097418427,S4_gru_h32_L2,drug,none,manual
11,884,61.05356979370117,2.5684523582458496,0.08933920759990355,S4_gru_h32_L2,drug,none,manual
12,898,47.66368865966797,2.532738208770752,0.013459850920891858,S4_gru_h32_L2,drug,none,manual
13,912,41.907737731933594,2.1636905670166016,-0.0660962763213413,S4_gru_h32_L2,drug,none,manual
14,926,51.19791793823242,2.373511791229248,0.0828757185391068,S4_gru_h32_L2,drug,none,manual
15,940,51.28868865966797,2.6041667461395264,-0.030096465752087465,S4_gru_h32_L2,drug,none,manual
16,954,37.98958206176758,2.1830356121063232,0.24369726902985456,S4_gru_h32_L2,drug,none,manual
17,968,47.56696319580078,2.4925594329833984,0.34263567509799786,S4_gru_h32_L2,drug,none,manual
18,982,38.46428680419922,2.0892856121063232,-0.044237138110736485,S4_gru_h32_L2,drug,none,manual
19,996,54.9375,2.1875,0.3684912866354384,S4_gru_h32_L2,drug,none,manual
20,1010,85.97321319580078,2.8958332538604736,-0.38202086997665674,S4_gru_h32_L2,drug,none,manual
21,1024,90.95833587646484,2.9910714626312256,0.3073767358440319,S4_gru_h32_L2,drug,none,manual
22,1038,50.119049072265625,2.5892856121063232,0.16162594338081548,S4_gru_h32_L2,drug,none,manual
23,1052,81.25,2.8184523582458496,-0.13508788628145196,S4_gru_h32_L2,drug,none,manual
24,1066,69.83631134033203,2.7113094329833984,-0.11427693398778471,S4_gru_h32_L2,drug,none,manual
25,1080,71.625,3.107142925262451,0.181804253174071,S4_gru_h32_L2,drug,none,manual
26,1094,60.912200927734375,2.828869104385376,-0.028234818811226692,S4_gru_h32_L2,drug,none,manual
27,1108,55.34672546386719,2.6145832538604736,-0.09359011012095375,S4_gru_h32_L2,drug,none,manual
28,1122,74.87946319580078,2.7723214626312256,-0.25118730582861537,S4_gru_h32_L2,drug,none,manual
29,1136,63.19493865966797,2.346726179122925,0.25232842683718293,S4_gru_h32_L2,drug,none,manual
30,1150,56.706844329833984,2.5104167461395264,-0.3305051644550592,S4_gru_h32_L2,drug,none,manual
31,1164,77.0639877319336,2.8973214626312256,0.13745836165155179,S4_gru_h32_L2,drug,none,manual
32,1178,51.56696319580078,2.6354167461395264,0.17459447696357555,S4_gru_h32_L2,drug,none,manual
33,1192,28.130952835083008,1.8154761791229248,0.040357351161808386,S4_gru_h32_L2,drug,none,manual
34,1206,29.9375,1.8065476417541504,0.17734614187603293,S4_gru_h32_L2,drug,none,manual
35,1220,39.77083206176758,1.7321428060531616,0.026800662198800618,S4_gru_h32_L2,drug,none,manual
36,1234,46.27827453613281,2.09375,0.033532244810489664,S4_gru_h32_L2,drug,none,manual
37,1248,17.6800594329834,1.3377976417541504,0.015413894098905145,S4_gru_h32_L2,drug,none,manual
38,1262,19.034225463867188,1.5639880895614624,0.07378710521113419,S4_gru_h32_L2,drug,none,manual
39,1276,36.83035659790039,1.7470238208770752,-0.5087782738961475,S4_gru_h32_L2,drug,none,manual
40,1290,36.38393020629883,1.860119104385376,0.02422468565517044,S4_gru_h32_L2,drug,none,manual
41,1304,41.24256134033203,1.9568452835083008,-0.09342333296654926,S4_gru_h32_L2,drug,none,manual
42,1318,21.22916603088379,1.4821428060531616,-0.017691517833059445,S4_gru_h32_L2,drug,none,manual
43,1332,40.24106979370117,2.4136905670166016,-0.5421727346089071,S4_gru_h32_L2,drug,none,manual
44,1346,29.172618865966797,1.827380895614624,-0.6373506204381634,S4_gru_h32_L2,drug,none,manual
45,1360,28.620534896850586,1.4002976417541504,0.04612414190825098,S4_gru_h32_L2,drug,none,manual
46,1374,45.400299072265625,1.9151785373687744,-0.30191176670066544,S4_gru_h32_L2,drug,none,manual
47,1388,20.931547164916992,1.4166666269302368,0.1269861195668024,S4_gru_h32_L2,drug,none,manual
48,1402,39.73214340209961,1.8303571939468384,-0.6073686332075696,S4_gru_h32_L2,drug,none,manual
49,1416,28.811012268066406,1.6116071939468384,0.00015488884805592296,S4_gru_h32_L2,drug,none,manual
50,1430,16.581844329833984,1.2098214626312256,0.3087469099531116,S4_gru_h32_L2,drug,none,manual
51,1444,34.488094329833984,1.7053571939468384,-0.05168574432773965,S4_gru_h32_L2,drug,none,manual
52,1458,35.72768020629883,2.188988208770752,0.45460117297646885,S4_gru_h32_L2,drug,none,manual
53,1472,35.54910659790039,2.0044643878936768,-0.09547389519945626,S4_gru_h32_L2,drug,none,manual
54,1486,38.175594329833984,2.113095283508301,0.25968891778869163,S4_gru_h32_L2,drug,none,manual
55,1500,19.223215103149414,1.4791666269302368,0.20942466735988263,S4_gru_h32_L2,drug,none,manual
56,1514,67.29463958740234,2.9285714626312256,0.04109422395913398,S4_gru_h32_L2,drug,none,manual
57,1528,44.282737731933594,1.851190447807312,0.07695646089304631,S4_gru_h32_L2,drug,none,manual
58,1542,23.918155670166016,1.6383928060531616,0.07290759936188851,S4_gru_h32_L2,drug,none,manual
59,1556,24.787202835083008,1.7098214626312256,0.1657317261296466,S4_gru_h32_L2,drug,none,manual
60,1570,27.977678298950195,1.8139880895614624,0.060560644736194935,S4_gru_h32_L2,drug,none,manual
61,1584,36.345237731933594,1.9404761791229248,0.042383851293633534,S4_gru_h32_L2,drug,none,manual
62,1598,42.44047546386719,2.217261791229248,0.11557664788649313,S4_gru_h32_L2,drug,none,manual
63,1612,80.57440185546875,2.672619104385376,0.054680754583493085,S4_gru_h32_L2,drug,none,manual
64,1626,40.126487731933594,1.9866071939468384,0.2865269476714748,S4_gru_h32_L2,drug,none,manual
65,1640,38.324405670166016,2.0089285373687744,0.38279769429023025,S4_gru_h32_L2,drug,none,manual
66,1654,43.17708206176758,1.9985119104385376,0.2464223812815013,S4_gru_h32_L2,drug,none,manual
67,1668,38.282737731933594,2.059523820877075,0.2614687129146258,S4_gru_h32_L2,drug,none,manual
68,1682,66.31993865966797,2.563988208770752,-0.02776556689938925,S4_gru_h32_L2,drug,none,manual
69,1696,42.66071319580078,1.9880952835083008,0.03905072054117864,S4_gru_h32_L2,drug,none,manual
70,1710,70.92411041259766,2.168154716491699,-0.1737139705025006,S4_gru_h32_L2,drug,none,manual
71,1724,54.79910659790039,1.8973214626312256,-0.1440954699328887,S4_gru_h32_L2,drug,none,manual
72,1738,69.07291412353516,2.278273820877075,-0.20494775856845115,S4_gru_h32_L2,drug,none,manual
73,1752,66.66666412353516,2.488095283508301,-0.2896168532558492,S4_gru_h32_L2,drug,none,manual
74,1766,95.5,2.7589285373687744,-0.010916308303010158,S4_gru_h32_L2,drug,none,manual
75,1780,78.16517639160156,2.6324405670166016,-0.1438556838828946,S4_gru_h32_L2,drug,none,manual
