fold_id,t_end,mse,mae,skill_vs_naive,mode,target_granularity,aux_source,run_type
0,730,540.53271484375,6.952381134033203,0.0018549354379228111,S5_gru_h32_lr_low,drug,none,manual
1,744,269.18450927734375,5.127976417541504,0.007113595323820721,S5_gru_h32_lr_low,drug,none,manual
2,758,228.97470092773438,5.382440567016602,0.0007533261918392098,S5_gru_h32_lr_low,drug,none,manual
3,772,79.74256134033203,3.471726179122925,0.004625171323804467,S5_gru_h32_lr_low,drug,none,manual
4,786,49.918155670166016,2.5044643878936768,0.023889876878382843,S5_gru_h32_lr_low,drug,none,manual
5,800,50.08333206176758,2.8958332538604736,-0.0062486994649939565,S5_gru_h32_lr_low,drug,none,manual
6,814,40.36606979370117,2.610119104385376,-0.007802051143245281,S5_gru_h32_lr_low,drug,none,manual
7,828,97.80208587646484,3.4747023582458496,0.0,S5_gru_h32_lr_low,drug,none,manual
8,842,77.7172622680664,3.8125,-0.04684396269920521,S5_gru_h32_lr_low,drug,none,manual
9,856,214.7857208251953,5.735118865966797,0.003665420864777391,S5_gru_h32_lr_low,drug,none,manual
10,870,43.21875,3.063988208770752,-0.10169938011556368,S5_gru_h32_lr_low,drug,none,manual
11,884,67.2797622680664,3.0565476417541504,-0.0035292256710683922,S5_gru_h32_lr_low,drug,none,manual
12,898,48.400299072265625,2.7395832538604736,-0.0017864669091469665,S5_gru_h32_lr_low,drug,none,manual
13,912,39.505950927734375,2.345238208770752,-0.0049969159871423585,S5_gru_h32_lr_low,drug,none,manual
14,926,55.86756134033203,2.873511791229248,-0.0007730609873572991,S5_gru_h32_lr_low,drug,none,manual
15,940,50.1875,2.9285714626312256,-0.007979882620527512,S5_gru_h32_lr_low,drug,none,manual
16,954,50.14731979370117,2.9419643878936768,0.0016590640785590915,S5_gru_h32_lr_low,drug,none,manual
17,968,71.74553680419922,3.543154716491699,0.008493433312393606,S5_gru_h32_lr_low,drug,none,manual
18,982,37.32291793823242,2.4479167461395264,-0.013250998573222761,S5_gru_h32_lr_low,drug,none,manual
19,996,86.15029907226562,3.2425594329833984,0.009698939283756092,S5_gru_h32_lr_low,drug,none,manual
20,1010,63.650299072265625,2.730654716491699,-0.023179644313020553,S5_gru_h32_lr_low,drug,none,manual
21,1024,129.3050537109375,3.891369104385376,0.015376793010286716,S5_gru_h32_lr_low,drug,none,manual
22,1038,59.41666793823242,3.300595283508301,0.006098602183252755,S5_gru_h32_lr_low,drug,none,manual
23,1052,72.48362731933594,3.075892925262451,-0.01261892090975425,S5_gru_h32_lr_low,drug,none,manual
24,1066,63.04166793823242,2.9285714626312256,-0.005864644273115838,S5_gru_h32_lr_low,drug,none,manual
25,1080,86.82291412353516,3.5877976417541504,0.008193520936693233,S5_gru_h32_lr_low,drug,none,manual
26,1094,59.21428680419922,3.0059523582458496,0.0004269992577257131,S5_gru_h32_lr_low,drug,none,manual
27,1108,51.029762268066406,2.7886905670166016,-0.00829168971546923,S5_gru_h32_lr_low,drug,none,manual
28,1122,60.08333206176758,2.9464285373687744,-0.0039535429226322805,S5_gru_h32_lr_low,drug,none,manual
29,1136,84.83779907226562,2.956845283508301,-0.0037324513856105135,S5_gru_h32_lr_low,drug,none,manual
30,1150,42.636905670166016,2.5416667461395264,-0.000384060530302488,S5_gru_h32_lr_low,drug,none,manual
31,1164,89.23809814453125,3.627976179122925,0.0011991639411582655,S5_gru_h32_lr_low,drug,none,manual
32,1178,61.956844329833984,3.230654716491699,0.008289060855199648,S5_gru_h32_lr_low,drug,none,manual
33,1192,29.26339340209961,2.1949405670166016,0.0017259449753698197,S5_gru_h32_lr_low,drug,none,manual
34,1206,36.77827453613281,2.284226179122925,-0.010631797654851338,S5_gru_h32_lr_low,drug,none,manual
35,1220,40.9375,1.9702380895614624,-0.0017479098591917097,S5_gru_h32_lr_low,drug,none,manual
36,1234,48.113094329833984,2.3392856121063232,-0.004785825276827582,S5_gru_h32_lr_low,drug,none,manual
37,1248,18.2886905670166,1.577380895614624,-0.018480209054955177,S5_gru_h32_lr_low,drug,none,manual
38,1262,20.659225463867188,1.867559552192688,-0.005286033692733616,S5_gru_h32_lr_low,drug,none,manual
39,1276,24.629465103149414,1.8229166269302368,-0.00896122866846194,S5_gru_h32_lr_low,drug,none,manual
40,1290,37.599700927734375,2.248511791229248,-0.008380891893860598,S5_gru_h32_lr_low,drug,none,manual
41,1304,38.0148811340332,2.190476179122925,-0.00785103255100461,S5_gru_h32_lr_low,drug,none,manual
42,1318,21.081844329833984,1.7782738208770752,-0.010629156300203668,S5_gru_h32_lr_low,drug,none,manual
43,1332,25.79166603088379,1.9791666269302368,0.011576870672717066,S5_gru_h32_lr_low,drug,none,manual
44,1346,17.48958396911621,1.6860119104385376,0.018374685707575056,S5_gru_h32_lr_low,drug,none,manual
45,1360,30.22916603088379,1.6517857313156128,-0.007488916298354242,S5_gru_h32_lr_low,drug,none,manual
46,1374,34.82143020629883,2.2261905670166016,0.0014508572561240385,S5_gru_h32_lr_low,drug,none,manual
47,1388,23.595237731933594,1.8660714626312256,0.015888797430859358,S5_gru_h32_lr_low,drug,none,manual
48,1402,25.181547164916992,1.8392857313156128,-0.018722514889182973,S5_gru_h32_lr_low,drug,none,manual
49,1416,28.907737731933594,2.110119104385376,-0.003201830494939939,S5_gru_h32_lr_low,drug,none,manual
50,1430,24.19791603088379,1.8526785373687744,-0.00874690995311167,S5_gru_h32_lr_low,drug,none,manual
51,1444,32.99256134033203,2.049107074737549,-0.006080710016798552,S5_gru_h32_lr_low,drug,none,manual
52,1458,65.70237731933594,3.1785714626312256,-0.002975824786567216,S5_gru_h32_lr_low,drug,none,manual
53,1472,45.113094329833984,2.529761791229248,-0.3901957573505548,S5_gru_h32_lr_low,drug,none,manual
54,1486,48.8273811340332,2.761904716491699,0.0531266898802113,S5_gru_h32_lr_low,drug,none,manual
55,1500,24.425594329833984,1.9434523582458496,-0.004528756434577286,S5_gru_h32_lr_low,drug,none,manual
56,1514,69.78422546386719,3.2276785373687744,0.00561921002743293,S5_gru_h32_lr_low,drug,none,manual
57,1528,47.83333206176758,2.092261791229248,0.0029467378270839895,S5_gru_h32_lr_low,drug,none,manual
58,1542,25.686012268066406,1.8705357313156128,0.004383652953439454,S5_gru_h32_lr_low,drug,none,manual
59,1556,29.061012268066406,2.1145832538604736,0.02188719303616682,S5_gru_h32_lr_low,drug,none,manual
60,1570,30.0863094329834,2.077380895614624,-0.010243338778036515,S5_gru_h32_lr_low,drug,none,manual
61,1584,38.282737731933594,2.217261791229248,-0.008664962908740304,S5_gru_h32_lr_low,drug,none,manual
62,1598,47.005950927734375,2.5208332538604736,0.020436028710747012,S5_gru_h32_lr_low,drug,none,manual
63,1612,85.54762268066406,2.985119104385376,-0.0036663289753309236,S5_gru_h32_lr_low,drug,none,manual
64,1626,56.19791793823242,2.784226179122925,0.0007672659077616606,S5_gru_h32_lr_low,drug,none,manual
65,1640,61.842262268066406,2.9434523582458496,0.004050129553032189,S5_gru_h32_lr_low,drug,none,manual
66,1654,57.33333206176758,2.842261791229248,-0.0006492746891992862,S5_gru_h32_lr_low,drug,none,manual
67,1668,51.93006134033203,2.8199405670166016,-0.0018085777628829014,S5_gru_h32_lr_low,drug,none,manual
68,1682,64.45237731933594,3.017857074737549,0.0011761854371974412,S5_gru_h32_lr_low,drug,none,manual
69,1696,44.51785659790039,2.6041667461395264,-0.00278216223104355,S5_gru_h32_lr_low,drug,none,manual
70,1710,61.061012268066406,2.465773820877075,-0.01049082935447454,S5_gru_h32_lr_low,drug,none,manual
71,1724,48.20089340209961,2.1502976417541504,-0.006338008258206518,S5_gru_h32_lr_low,drug,none,manual
72,1738,58.186012268066406,2.3348214626312256,-0.01503036251013068,S5_gru_h32_lr_low,drug,none,manual
73,1752,52.061012268066406,2.5877976417541504,-0.007081420693976881,S5_gru_h32_lr_low,drug,none,manual
74,1766,95.8125,2.9285714626312256,-0.014224280516043741,S5_gru_h32_lr_low,drug,none,manual
75,1780,69.36607360839844,2.639880895614624,-0.01509113429354425,S5_gru_h32_lr_low,drug,none,manual
76,1794,64.28868865966797,2.5565476417541504,-0.026736688847478485,S5_gru_h32_lr_low,drug,none,manual
77,1808,58.34672546386719,2.638392925262451,-0.0038146316364247035,S5_gru_h32_lr_low,drug,none,manual
78,1822,91.57887268066406,3.153273820877075,-0.0020026820964427205,S5_gru_h32_lr_low,drug,none,manual
79,1836,91.80654907226562,2.8214285373687744,-0.004755553336360352,S5_gru_h32_lr_low,drug,none,manual
80,1850,131.11012268066406,4.309523582458496,-0.006051931066903382,S5_gru_h32_lr_low,drug,none,manual
81,1864,97.02381134033203,3.2589285373687744,0.001882962030895885,S5_gru_h32_lr_low,drug,none,manual
82,1878,100.67411041259766,3.4151785373687744,-0.0022964113910146633,S5_gru_h32_lr_low,drug,none,manual
83,1892,71.2797622680664,2.8541667461395264,-0.0006894561725661053,S5_gru_h32_lr_low,drug,none,manual
84,1906,88.79762268066406,3.1934523582458496,-0.01195587692008604,S5_gru_h32_lr_low,drug,none,manual
85,1920,92.03571319580078,3.3511905670166016,-0.0018790466983591436,S5_gru_h32_lr_low,drug,none,manual
86,1934,77.02083587646484,2.642857074737549,0.015314922873801429,S5_gru_h32_lr_low,drug,none,manual
87,1948,89.3422622680664,2.925595283508301,-0.010570619270526382,S5_gru_h32_lr_low,drug,none,manual
88,1962,82.10118865966797,3.0625,0.0016647939088118013,S5_gru_h32_lr_low,drug,none,manual
89,1976,69.94493865966797,2.8080356121063232,0.034112155145148315,S5_gru_h32_lr_low,drug,none,manual
90,1990,63.77381134033203,2.7559523582458496,0.0070205011605999346,S5_gru_h32_lr_low,drug,none,manual
91,2004,77.60862731933594,2.9270832538604736,0.017390162829742817,S5_gru_h32_lr_low,drug,none,manual
92,2018,85.10267639160156,3.159226179122925,0.012143347452557407,S5_gru_h32_lr_low,drug,none,manual
93,2032,84.04463958740234,2.842261791229248,0.012035147333313456,S5_gru_h32_lr_low,drug,none,manual
94,2046,67.46875,2.784226179122925,0.015589357506165857,S5_gru_h32_lr_low,drug,none,manual
95,2060,44.24702453613281,2.467261791229248,-0.004798635584541522,S5_gru_h32_lr_low,drug,none,manual
96,2074,34.4851188659668,1.8839285373687744,0.022524057732069336,S5_gru_h32_lr_low,drug,none,manual
97,2088,65.24107360839844,2.5357143878936768,0.020159132167195226,S5_gru_h32_lr_low,drug,none,manual
98,2102,46.06696319580078,2.0550594329833984,0.03587781408396007,S5_gru_h32_lr_low,drug,none,manual
99,2116,49.300594329833984,2.2410714626312256,0.007311062460989781,S5_gru_h32_lr_low,drug,none,manual
100,2130,51.595237731933594,2.389880895614624,0.04571600322577685,S5_gru_h32_lr_low,drug,none,manual
101,2144,87.7827377319336,2.860119104385376,0.002131402674747318,S5_gru_h32_lr_low,drug,none,manual
102,2158,102.64881134033203,2.9613094329833984,0.020170410022261498,S5_gru_h32_lr_low,drug,none,manual
103,2172,85.47172546386719,2.9449405670166016,0.017482366917730308,S5_gru_h32_lr_low,drug,none,manual
104,2186,74.70237731933594,2.7142856121063232,0.0211944790409907,S5_gru_h32_lr_low,drug,none,manual
105,2200,78.11756134033203,3.0520832538604736,0.022985314090036457,S5_gru_h32_lr_low,drug,none,manual
