scenario,seed,run_id,n_folds,mean_mse,median_mse,mean_mae,median_mae,mean_skill,median_skill,max_fold_mse,p95_fold_mse,p90_fold_mse,min_fold_skill
S04_GRU_H32_L1,42,RUN_S04_GRU_H32_L1_SEED42,52,0.9568526251957967,0.859591007232666,0.4056739646654863,0.3896889388561249,-0.175961291074104,-0.025611860481171998,5.048675060272217,1.2826181173324578,1.1082085132598876,-7.280113427079073
S04_GRU_H32_L1,123,RUN_S04_GRU_H32_L1_SEED123,52,0.9522055547970992,0.8876727819442749,0.4063109279825137,0.39616936445236206,-0.16008550058187998,-0.03507885720858425,3.7669930458068848,1.3155530095100396,1.1004032373428345,-5.178082234632328
S04_GRU_H32_L1,456,RUN_S04_GRU_H32_L1_SEED456,52,0.9659972145007207,0.8742799460887909,0.40931296463196093,0.3958813399076462,-0.1836376618397986,-0.04465544941895175,4.699596881866455,1.3183899700641621,1.1584964990615845,-6.707605417034551
S04_GRU_H32_L1,789,RUN_S04_GRU_H32_L1_SEED789,52,0.9456808280486327,0.8605991005897522,0.4054801074358133,0.3902649879455566,-0.15532942308039252,-0.02386995078711535,4.269009113311768,1.2865351557731621,1.1674251437187193,-6.001417056448428
S04_GRU_H32_L1,1024,RUN_S04_GRU_H32_L1_SEED1024,52,0.966479089970772,0.8626152276992798,0.40733560862449497,0.3902649730443954,-0.18784120219716943,-0.031007693872502552,5.088709831237793,1.293418759107589,1.10829496383667,-7.345772721976184
S11_LATENT16,42,RUN_S11_LATENT16_SEED42,52,0.9611895118768399,0.8947292566299438,0.40862615463825375,0.40250575542449946,-0.1714607524168445,-0.042363208223931,3.8773040771484375,1.3197004854679102,1.1386520743370054,-5.358998582161512
S11_LATENT16,123,RUN_S11_LATENT16_SEED123,52,0.9624689851815884,0.9121543765068054,0.4156770637402168,0.4000576138496399,-0.16724565373155928,-0.03792891048360255,3.1468894481658936,1.3758064270019523,1.2069412350654602,-4.161077166231201
S11_LATENT16,456,RUN_S11_LATENT16_SEED456,52,0.9756125945311326,0.9508928656578064,0.4128578081727028,0.4009216576814651,-0.18364558103440948,-0.06517330152663439,3.2727534770965576,1.405371487140655,1.1729550957679749,-4.367501311872071
S11_LATENT16,789,RUN_S11_LATENT16_SEED789,52,0.9647952822538522,0.9004896581172943,0.4095400566091904,0.3898329436779022,-0.17898702666363547,-0.03648092476282165,4.22091007232666,1.3282113611698145,1.1111751556396483,-5.922531901365989
S11_LATENT16,1024,RUN_S11_LATENT16_SEED1024,52,0.9444069054264289,0.888248860836029,0.406842654141096,0.3974654376506805,-0.1518564720797446,-0.06508361163567686,2.752016067504883,1.2535570740699762,1.1186636090278623,-3.513462427280057
