target,nonzero_rate,bucket,mse_s1,mse_s2,mae_s1,mae_s2,delta_mse_s2_minus_s1,pct_change
A02BA01,0.059076682316118935,sparse,0.7972528,0.4934066,0.20934066,0.16483517,-0.30384618,-38.11165
A03AB02,0.036384976525821594,sparse,1.1494505,0.20054945,0.18131869,0.102747254,-0.94890106,-82.552574
A03FA01,0.2335680751173709,sparse,6.513187,5.90989,1.2593406,1.2989011,-0.60329676,-9.262696
A04AA01,0.009780907668231613,sparse,3.25,0.27637362,0.15329671,0.06648352,-2.9736264,-91.49619
A10AB05,0.0003912363067292645,ultra_sparse,0.0,0.008791209,0.0,0.008791209,0.008791209,8.791209e+08
A10AE04,0.000782472613458529,ultra_sparse,0.0,0.0032967033,0.0,0.0032967033,0.0032967033,3.2967034e+08
A11EA,0.09115805946791862,sparse,5.4164834,5.467582,0.86263734,0.8730769,0.051098824,0.94339484
B02AA02,0.02699530516431925,sparse,0.85604393,0.86043954,0.17802198,0.18241759,0.004395604,0.5134788
B05BA03,0.0003912363067292645,ultra_sparse,0.0016483517,0.0027472528,0.0016483517,0.0027472528,0.0010989011,66.66667
B05BB01,0.3345070422535211,sparse,13.108791,11.886813,1.8813187,1.8274726,-1.2219782,-9.321822
B05BB02,0.6592331768388107,sparse,531.12305,469.58408,16.35934,15.614835,-61.53897,-11.5865755
B05XA03,0.16392801251956182,sparse,11.363187,9.55989,1.4763737,1.4796703,-1.803297,-15.869641
C01EA01,0.01564945226917058,sparse,0.33736265,0.3445055,0.06153846,0.06868132,0.007142842,2.1172593
C07AG01,0.001564945226917058,ultra_sparse,0.0027472528,0.0065934067,0.0016483517,0.0054945056,0.0038461538,140.0
C08CA04,0.0019561815336463224,ultra_sparse,0.015384615,0.0,0.0076923077,0.0,-0.015384615,-100.0
D11AH05,0.10211267605633803,sparse,5.179121,5.1027474,0.7912088,0.78186816,-0.07637358,-1.4746436
H02AB02,0.7992957746478874,dense,1571.6753,707.2698,19.818132,18.401648,-864.4055,-54.99899
H02AB04,0.000782472613458529,ultra_sparse,0.05989011,0.06318682,0.007142857,0.010439561,0.0032967068,5.504593
H02AB08,0.202660406885759,sparse,5.762637,2.828022,0.8054945,0.93021977,-2.9346151,-50.924862
J01CR02,0.155320813771518,sparse,3.681868,2.8142858,0.6631868,0.7076923,-0.8675823,-23.563644
J01DC02,0.08020344287949922,sparse,47.125275,46.468132,1.7274725,1.7252747,-0.65714264,-1.394459
J01DC05,0.4338810641627543,sparse,389.9324,342.6758,13.368681,13.0274725,-47.25659,-12.119176
J01DC07,0.008998435054773083,sparse,0.44065934,0.14175825,0.046153847,0.05824176,-0.29890108,-67.83042
J01DC09,0.16158059467918623,sparse,44.358242,16.223627,1.3505495,2.2038462,-28.134615,-63.425903
J01DC14,0.0011737089201877935,ultra_sparse,0.00989011,0.013186813,0.0032967033,0.0065934067,0.003296703,33.333332
J01DD04,0.004303599374021909,ultra_sparse,0.071978025,0.082967035,0.018131869,0.02912088,0.01098901,15.267174
J01GB03,0.3474178403755869,sparse,310.3132,270.04504,10.820879,10.136264,-40.268158,-12.976618
J01GB07,0.465962441314554,sparse,371.90878,291.04065,10.097802,9.497802,-80.86813,-21.744078
J01MA02,0.06572769953051644,sparse,2.3626373,2.3302197,0.52527475,0.50164837,-0.032417536,-1.372091
M01AB05,0.770735524256651,dense,335.33572,295.18185,13.624725,13.104945,-40.15387,-11.97423
M01AB15,0.1396713615023474,sparse,10.213737,11.160989,1.371978,1.6631868,0.9472523,9.274297
M03AB01,0.003912363067292645,ultra_sparse,0.16483517,0.092307694,0.016483517,0.026373627,-0.072527476,-44.0
M03AC09,0.004694835680751174,ultra_sparse,0.07912088,0.0,0.0065934067,0.0,-0.07912088,-100.0
N01AH01,0.005477308294209703,sparse,0.081868134,0.114835165,0.008241759,0.034615386,0.03296703,40.268456
N01AH06,0.014475743348982786,sparse,0.31868133,0.28956044,0.07032967,0.08516484,-0.029120892,-9.137936
N01AX07,0.01995305164319249,sparse,0.1510989,0.14945056,0.07967033,0.07362638,-0.0016483516,-1.090909
N01AX10,0.05242566510172144,sparse,0.6593407,0.31483516,0.18241759,0.15,-0.34450552,-52.250004
N01BB02,0.032081377151799685,sparse,0.20549451,0.21098901,0.10769231,0.113186814,0.005494505,2.6737967
N01BB52,0.7061815336463224,dense,148.41484,114.54505,8.833516,7.7549453,-33.86979,-22.821026
N02AB02,0.004303599374021909,ultra_sparse,0.2813187,0.046703298,0.04835165,0.024725275,-0.2346154,-83.39844
N02AX02,0.7449139280125195,dense,610.7154,216.59836,10.5736265,9.389561,-394.11703,-64.53367
N05BA01,0.16705790297339593,sparse,3.192857,3.0664835,1.0016483,0.960989,-0.12637353,-3.9580078
N05CD08,0.053208137715179966,sparse,4.840659,0.4543956,0.33516484,0.19725275,-4.3862634,-90.61294
N07AA01,0.004694835680751174,ultra_sparse,0.71263736,0.04725275,0.05989011,0.023076924,-0.6653846,-93.36931
R03CA02,0.0027386541471048514,ultra_sparse,0.055494506,0.06098901,0.014835165,0.020329671,0.005494505,9.90099
R05CB06,0.0528169014084507,sparse,0.44230768,0.2769231,0.1478022,0.13076924,-0.16538459,-37.3913
R06AB04,0.47456964006259783,sparse,57.703297,36.62143,4.847253,4.1774726,-21.081867,-36.534943
V03AB25,0.000782472613458529,ultra_sparse,0.004945055,0.008241759,0.0038461538,0.007142857,0.0032967036,66.66667
