label,w,seed,n_folds,mean_mse,median_mse,mean_mae,median_mae,mean_skill,median_skill,max_fold_mse,p95_fold_mse,p90_fold_mse,min_fold_skill
blend_w0.50,0.5,42,52,0.9212394208613967,0.8698516705069125,0.4026968495214463,0.39609735023041476,-0.11491396888236793,-0.028442736900681886,2.989559331797235,1.2898869527649763,1.1116071428571428,-3.903046852638825
blend_w0.50,0.5,123,52,0.9224579603863877,0.8962413594470047,0.4069229661467565,0.394801267281106,-0.11073474602902349,-0.02967028181173781,2.278297811059908,1.32825460829493,1.1097494239631336,-2.7365376204712324
blend_w0.50,0.5,456,52,0.928518809819213,0.9149625576036866,0.4061281460475009,0.3948732718894009,-0.11939152110244824,-0.044511023344584566,2.4585253456221197,1.348041474654377,1.1228758640552996,-3.0321209984946664
blend_w0.50,0.5,789,52,0.9142245103686636,0.8677995391705069,0.40253068504076567,0.3896889400921659,-0.10242582384583311,-0.029341869649704533,2.481494815668203,1.2946068548387089,1.136859158986175,-3.0697922320501903
blend_w0.50,0.5,1024,52,0.9081955091279688,0.8600950460829493,0.4020432692307692,0.3924251152073733,-0.09593001628995902,-0.030947768351964333,2.1557459677419355,1.2634216589861744,1.1024913594470045,-2.535545647080946
blend_w0.55,0.55,42,52,0.9218340819966323,0.8750248415898616,0.40291867910315493,0.3968677995391705,-0.11527691274659883,-0.030263804712889808,2.94572508640553,1.2918537946428565,1.112422811059908,-3.8311562042012213
blend_w0.55,0.55,123,52,0.9233199247828784,0.8975338421658986,0.40758346995746186,0.3956149193548387,-0.11162206175571042,-0.030596897034432358,2.2590790610599076,1.3314415322580635,1.1122415034562212,-2.7050177805078937
blend_w0.55,0.55,456,52,0.9294224399592342,0.9202109735023041,0.406487061325771,0.3949020737327189,-0.12003441825129015,-0.04862923989355428,2.4024596774193547,1.3525289458525336,1.1227454637096774,-2.9401701229596418
blend_w0.55,0.55,789,52,0.9155903685528182,0.8694858870967742,0.40296354351293867,0.38963133640553,-0.10425602809705488,-0.029771628082773227,2.4967245103686637,1.2974313796082941,1.1330776929723503,-3.0947697950888386
blend_w0.55,0.55,1024,52,0.9075643748892237,0.8607538882488479,0.40207567130450195,0.3929291474654378,-0.09486996830041895,-0.03348029517765638,2.0565574596774194,1.2619141705069117,1.1022325748847928,-2.372870868523766
