label,w,seed,n_folds,mean_mse,median_mse,mean_mae,median_mae,mean_skill,median_skill,max_fold_mse,p95_fold_mse,p90_fold_mse,min_fold_skill
blend_w0.00,0.0,42,52,0.9568526231832684,0.8595910138248848,0.40567396313364057,0.3896889400921659,-0.1759612907093461,-0.025611838051526448,5.048675115207374,1.2826180875576028,1.108208525345622,-7.280113517175845
blend_w0.00,0.0,123,52,0.9522055565402339,0.8876728110599078,0.4063109269762496,0.3961693548387097,-0.1600855026772455,-0.03507884240301462,3.7669930875576036,1.3155529953917044,1.1004032258064516,-5.1780823031058745
blend_w0.00,0.0,456,52,0.9659972084367247,0.8742799539170507,0.40931296526054595,0.39588133640552997,-0.18363765418173392,-0.04465546928549169,4.699596774193548,1.3183899769585243,1.1584965437788017,-6.707605240444877
blend_w0.00,0.0,789,52,0.9456808312655086,0.8605990783410138,0.4054801045728465,0.39026497695852536,-0.15532942743697456,-0.023869964872577643,4.269009216589862,1.2865351382488472,1.1674251152073731,-6.001417225830361
blend_w0.00,0.0,1024,52,0.9664790854306984,0.8626152073732718,0.4073356079404466,0.39026497695852536,-0.18784119512932088,-0.031007670055370085,5.088709677419355,1.2934187788018425,1.108294930875576,-7.3457724697052225
blend_w0.05,0.05,42,52,0.9498909545595533,0.8600752448156681,0.40524332018787673,0.39035138248847934,-0.1645648235791611,-0.024805707071895555,4.710154809907833,1.282330465149769,1.1079470046082949,-6.724921017799881
blend_w0.05,0.05,123,52,0.9460916590969515,0.8881732430875576,0.4061827033853244,0.39624855990783425,-0.15038665223755218,-0.035291766304760386,3.512045650921659,1.3152548963133632,1.1007300547235022,-4.759954048051398
blend_w0.05,0.05,456,52,0.958443620391705,0.8735815092165898,0.408787331619993,0.3956077188940093,-0.17143053231826585,-0.042043969631417655,4.3380011520737325,1.320109591013824,1.153778873847926,-6.114567912800768
blend_w0.05,0.05,789,52,0.9388439798608649,0.8618245967741935,0.40490268300248144,0.3902073732718895,-0.14421315057849454,-0.02301997580397419,3.9315459389400913,1.2829447364631332,1.168879752304147,-5.447958311747797
blend_w0.05,0.05,1024,52,0.9563984541164481,0.861617943548387,0.40664962557603695,0.38991935483870976,-0.17199738369542422,-0.028251163273843805,4.636597782258064,1.2890018361175106,1.1074514688940091,-6.604283320774863
blend_w0.10,0.1,42,52,0.9436849189117335,0.8591661866359448,0.40481267724211273,0.39101382488479264,-0.1543442975484178,-0.025001531077079253,4.401103110599078,1.2822682891705062,1.1080264976958525,-6.218058703517755
blend_w0.10,0.1,123,52,0.9406753478376463,0.8887528801843319,0.4060544797943991,0.3962845622119816,-0.14174641841449692,-0.03456412609585502,3.2806710829493086,1.3153052995391699,1.1013130760368663,-4.380486634506035
blend_w0.10,0.1,456,52,0.9517357541651896,0.8725806451612904,0.40826169797943995,0.3953341013824885,-0.1605084123560288,-0.04097660531336533,4.006958525345622,1.322105990783409,1.1492860023041473,-5.571639230367568
blend_w0.10,0.1,789,52,0.9328273994151011,0.8616705069124424,0.404330800248139,0.3901497695852535,-0.1343915218309849,-0.02356453711943285,3.629351958525346,1.279512240783409,1.1709478686635946,-4.952343045377359
blend_w0.10,0.1,1024,52,0.9472627725097483,0.8607862903225807,0.40596918202764976,0.38974654377880186,-0.15763194860596327,-0.027175152445093165,4.219778225806452,1.284745823732718,1.106666474654378,-5.920675608881825
blend_w0.15,0.15,42,52,0.9382345162398085,0.8584479406682026,0.4043825881779511,0.39167626728110605,-0.145299712617116,-0.02589600398333125,4.121520017281106,1.282431559619815,1.1081877880184332,-5.759526574329463
blend_w0.15,0.15,123,52,0.9359566227623184,0.8894117223502302,0.4059461959411556,0.3959101382488479,-0.13416480120807958,-0.0321334395694719,3.072869383640553,1.3157042050691237,1.101979478686636,-4.039680062469786
blend_w0.15,0.15,456,52,0.9458736097571783,0.8723372695852533,0.4077565579581709,0.39507488479262676,-0.15087129429502272,-0.03986715795396967,3.706468894009216,1.3243791762672803,1.1450179291474654,-5.078819193145275
blend_w0.15,0.15,789,52,0.927631089928217,0.8617209101382487,0.40381984447004615,0.3900921658986175,-0.1258645411944453,-0.025723922374225827,3.362427275345622,1.2792787298387087,1.1703576468894008,-4.514571426719039
blend_w0.15,0.15,1024,52,0.939072040610599,0.8601202476958525,0.4053081243353421,0.3897033410138249,-0.14474488986093798,-0.02734884371262858,3.838251008064516,1.2806507416474646,1.1059399481566818,-5.294949334026103
blend_w0.20,0.2,42,52,0.9335397465437788,0.8579205069124425,0.4039624689826304,0.39233870967741946,-0.13743106878525588,-0.026335747839062895,3.871405529953918,1.2828202764976953,1.1084308755760368,-5.34932463023501
blend_w0.20,0.2,123,52,0.9319354838709677,0.8901497695852535,0.40591545551222974,0.3955357142857143,-0.12764180061830038,-0.028787489132457655,2.888640552995392,1.3164516129032253,1.1027292626728114,-3.7375343319426513
blend_w0.20,0.2,456,52,0.9408571871676711,0.8743145161290324,0.4072813275434244,0.3950460829493089,-0.1425191781352477,-0.04064215151356598,3.4365322580645166,1.3269291474654368,1.1409746543778805,-4.636107801133893
blend_w0.20,0.2,789,52,0.9232550514002127,0.861975806451613,0.40338532435306634,0.3900345622119817,-0.11863220866887597,-0.02682503886760934,3.130771889400922,1.2801607142857137,1.164819124423963,-4.134643455772841
blend_w0.20,0.2,1024,52,0.9318262584190004,0.8596198156682029,0.40466257532789796,0.38966013824884804,-0.13333620746034838,-0.027554908863835936,3.492016129032258,1.2767165898617505,1.1052718894009217,-4.7271044962077
blend_w0.25,0.25,42,52,0.9296006098236441,0.8575838853686636,0.40356782834101385,0.39300115207373276,-0.13073836605283723,-0.026838192620517565,3.6507596486175116,1.2834344398041468,1.1087557603686635,-4.987452871234389
blend_w0.25,0.25,123,52,0.9286119311635944,0.8914800547235022,0.4059329027827011,0.3951612903225806,-0.12217741664515912,-0.028128854164223616,2.7279845910138247,1.317547523041474,1.1035624279953915,-3.4740494429246294
blend_w0.25,0.25,456,52,0.9366864863966679,0.8768361175115207,0.4068620391705069,0.39501728110599077,-0.13545206387670364,-0.03980402189415888,3.197148617511521,1.3297559043778793,1.1371561779953918,-4.243505054333418
blend_w0.25,0.25,789,52,0.9196992838310882,0.8624351958525346,0.40298902206664305,0.38997695852534564,-0.1126945242542767,-0.02697144326289036,2.934385800691244,1.2822706653225797,1.1595316100230413,-3.8125591325387633
blend_w0.25,0.25,1024,52,0.9255254259349521,0.8592849942396313,0.4040441665189649,0.389616935483871,-0.12340590140419432,-0.030275887753208663,3.1810735887096775,1.2729433683755753,1.1046622983870968,-4.217141095426613
blend_w0.30,0.3,42,52,0.9264171060794044,0.8574380760368663,0.4032618087557604,0.39366359447004606,-0.12522160441986016,-0.027500366808228427,3.459582373271889,1.2842740495391698,1.1091624423963133,-4.673911297327604
blend_w0.30,0.3,123,52,0.9259859646401984,0.893708237327189,0.4060068459766041,0.39478686635944704,-0.11777164928865595,-0.02709129725332171,2.590901497695852,1.3189919354838702,1.1044789746543777,-3.2492253954157224
blend_w0.30,0.3,456,52,0.9333615074441687,0.8804781105990784,0.40653469514356616,0.3949884792626729,-0.1296699515193905,-0.03903197220418164,2.98831797235023,1.3328594470046071,1.1335625,-3.9010109527438495
blend_w0.30,0.3,789,52,0.9169637872208436,0.8630990783410137,0.40268355636299186,0.3899193548387097,-0.10805148795064763,-0.027153838950532472,2.7732690092165897,1.284499711981566,1.154495103686636,-3.5483184570168067
blend_w0.30,0.3,1024,52,0.9201695431584545,0.8591157834101382,0.40351548652959945,0.38957373271889406,-0.11495397169247595,-0.03245980685394334,2.905423387096774,1.2706094470046074,1.1041111751152073,-3.7650591316828432
blend_w0.35,0.35,42,52,0.9239892353110599,0.8574830789170507,0.403011731212336,0.394218029953917,-0.12088078388632478,-0.027434642698995537,3.297873703917051,1.2853391057027643,1.1096509216589863,-4.408699908514657
blend_w0.35,0.35,123,52,0.9240575843007798,0.8933867367511521,0.40613230015951796,0.39452044930875574,-0.11442449854879079,-0.028400711407810753,2.4773912730414747,1.3207848502304138,1.1054789026497696,-3.0630621894159296
blend_w0.35,0.35,456,52,0.9308822503101737,0.8882070852534563,0.4062976338177951,0.39566532258064513,-0.12517284106330848,-0.039290965746055395,2.8100403225806456,1.3362397753456214,1.1301936203917051,-3.6086254963651925
blend_w0.35,0.35,789,52,0.9150485615694789,0.8639674539170507,0.4024622806628855,0.38986175115207367,-0.10470309975798875,-0.027372388906158673,2.6474215149769584,1.286847854262672,1.1497096054147466,-3.3419214292069714
blend_w0.35,0.35,1024,52,0.9157586100895073,0.8591121831797235,0.40305216456930165,0.38996255760368664,-0.10798041832519324,-0.03163926198869138,2.6650655241935484,1.268638824884792,1.1036185195852535,-3.3708586049763927
blend_w0.40,0.4,42,52,0.9223169975186104,0.8606912442396314,0.40284252038284296,0.394844470046083,-0.1177159044522309,-0.026944021761100778,3.1656336405529952,1.28662960829493,1.1102211981566819,-4.191818704795543
blend_w0.40,0.4,123,52,0.9228267901453386,0.893467741935484,0.40632865118752215,0.3946140552995392,-0.11213596442556366,-0.02824982667945275,2.387453917050691,1.3229262672811053,1.1065622119815668,-2.9155598249252495
blend_w0.40,0.4,456,52,0.9292487149946828,0.8981336405529955,0.4061802109181141,0.3953052995391705,-0.12196073250845739,-0.039895210547847726,2.6623156682027647,1.3398968894009207,1.127049539170507,-3.3663486851974413
blend_w0.40,0.4,789,52,0.913953606876994,0.8650403225806451,0.4023761520737327,0.3898041474654378,-0.10264935967630001,-0.028030295289152796,2.5568433179723504,1.2893150921658978,1.1451751152073733,-3.1933680491092566
blend_w0.40,0.4,1024,52,0.9122926267281106,0.8592741935483871,0.4026697093229351,0.3907834101382488,-0.1024852413023462,-0.03114705773560489,2.4599999999999995,1.2667839861751147,1.103184331797235,-3.0345395153072587
blend_w0.45,0.45,42,52,0.921400392702056,0.8650738047235025,0.4027430986352357,0.39547091013824887,-0.11572696611757863,-0.02768740352122201,3.062862183179724,1.2881455573156675,1.1108732718894008,-4.023267686170267
blend_w0.45,0.45,123,52,0.9222935821738745,0.8950280817972349,0.4066191620879121,0.3947076612903226,-0.11090604691897453,-0.028887925026744532,2.3210894297235027,1.325416186635944,1.1077289026497696,-2.8067183019436848
blend_w0.45,0.45,456,52,0.9284609014976959,0.9091892281105991,0.4061447624955689,0.39497407834101383,-0.12003362585483733,-0.041619000053035315,2.5451440092165902,1.3438307891705061,1.1241302563364055,-3.1741805192406005
blend_w0.45,0.45,789,52,0.9136789231433888,0.8663176843317972,0.40241852401630623,0.3897465437788018,-0.10189026770558146,-0.02899882417330424,2.5015344182027652,1.2919014256912436,1.140891633064516,-3.102658316723663
blend_w0.45,0.45,1024,52,0.9097715930742645,0.859601814516129,0.4023503965792272,0.391604262672811,-0.09846844062393477,-0.031782742360239036,2.2902268145161293,1.2650449308755753,1.102808611751152,-2.7561018626754445
blend_w0.50,0.5,42,52,0.9212394208613967,0.8698516705069125,0.4026968495214463,0.39609735023041476,-0.11491396888236793,-0.028442736900681886,2.989559331797235,1.2898869527649763,1.1116071428571428,-3.903046852638825
blend_w0.50,0.5,123,52,0.9224579603863877,0.8962413594470047,0.4069229661467565,0.394801267281106,-0.11073474602902349,-0.02967028181173781,2.278297811059908,1.32825460829493,1.1097494239631336,-2.7365376204712324
blend_w0.50,0.5,456,52,0.928518809819213,0.9149625576036866,0.4061281460475009,0.3948732718894009,-0.11939152110244824,-0.044511023344584566,2.4585253456221197,1.348041474654377,1.1228758640552996,-3.0321209984946664
blend_w0.50,0.5,789,52,0.9142245103686636,0.8677995391705069,0.40253068504076567,0.3896889400921659,-0.10242582384583311,-0.029341869649704533,2.481494815668203,1.2946068548387089,1.136859158986175,-3.0697922320501903
blend_w0.50,0.5,1024,52,0.9081955091279688,0.8600950460829493,0.4020432692307692,0.3924251152073733,-0.09593001628995902,-0.030947768351964333,2.1557459677419355,1.2634216589861744,1.1024913594470045,-2.535545647080946
blend_w0.55,0.55,42,52,0.9218340819966323,0.8750248415898616,0.40291867910315493,0.3968677995391705,-0.11527691274659883,-0.030263804712889808,2.94572508640553,1.2918537946428565,1.112422811059908,-3.8311562042012213
blend_w0.55,0.55,123,52,0.9233199247828784,0.8975338421658986,0.40758346995746186,0.3956149193548387,-0.11162206175571042,-0.030596897034432358,2.2590790610599076,1.3314415322580635,1.1122415034562212,-2.7050177805078937
blend_w0.55,0.55,456,52,0.9294224399592342,0.9202109735023041,0.406487061325771,0.3949020737327189,-0.12003441825129015,-0.04862923989355428,2.4024596774193547,1.3525289458525336,1.1227454637096774,-2.9401701229596418
blend_w0.55,0.55,789,52,0.9155903685528182,0.8694858870967742,0.40296354351293867,0.38963133640553,-0.10425602809705488,-0.029771628082773227,2.4967245103686637,1.2974313796082941,1.1330776929723503,-3.0947697950888386
blend_w0.55,0.55,1024,52,0.9075643748892237,0.8607538882488479,0.40207567130450195,0.3929291474654378,-0.09486996830041895,-0.03348029517765638,2.0565574596774194,1.2619141705069117,1.1022325748847928,-2.372870868523766
blend_w0.60,0.6,42,52,0.9231843761077633,0.8805933179723504,0.40319368131868133,0.3976382488479262,-0.11681579771027134,-0.03171885370062,2.9313594470046085,1.2940460829493083,1.113320276497696,-3.807595740857451
blend_w0.60,0.6,123,52,0.9248794753633464,0.898905529953917,0.40825726692662173,0.395852534562212,-0.11356799409903538,-0.0316677706948284,2.2634331797235023,1.3349769585253448,1.1162672811059908,-2.7121587820536703
blend_w0.60,0.6,456,52,0.9311717919177597,0.9259043778801842,0.4068803172633818,0.3953052995391705,-0.12196231730136309,-0.04908281124088354,2.376947004608295,1.3572932027649762,1.1227488479262673,-2.8983278926355256
blend_w0.60,0.6,789,52,0.9177764976958525,0.8713767281105991,0.4034451435661113,0.38957373271889395,-0.10738088045924686,-0.030288099472510432,2.5472235023041474,1.3003749999999992,1.1295472350230413,-3.1775910058396075
blend_w0.60,0.6,1024,52,0.907878190358029,0.8615783410138249,0.40215238390641617,0.39343317972350234,-0.0952882966553145,-0.037452756699071665,1.9926612903225809,1.2605224654377873,1.1020322580645163,-2.268077527003904
blend_w0.65,0.65,42,52,0.925290303194789,0.883698516705069,0.40356616669620704,0.39830069124423967,-0.11953062377338537,-0.032484629154737155,2.94646241359447,1.296463817684331,1.1142995391705068,-3.832365462607517
blend_w0.65,0.65,123,52,0.9271366121277915,0.9008446140552995,0.40898257488479267,0.39609014976958523,-0.11657254305899836,-0.03326633711807636,2.291360167050691,1.3388608870967733,1.127996111751152,-2.7579606251085598
blend_w0.65,0.65,456,52,0.9337668656947891,0.9320427707373272,0.40738324175824175,0.3961693548387097,-0.12517521825266703,-0.050574827294484814,2.38198732718894,1.3623342453917042,1.1228860167050692,-2.9065943075223175
blend_w0.65,0.65,789,52,0.9207828977977667,0.8734720622119816,0.4039893322403403,0.3895161290322581,-0.111800380932409,-0.030299072441957065,2.6329917914746543,1.3034377160138242,1.126267785138249,-3.3182558643024977
blend_w0.65,0.65,1024,52,0.9091369555343849,0.8625684043778802,0.4023371034207728,0.39393721198156684,-0.09718500135464567,-0.03889227563534081,1.9640574596774192,1.2592465437788012,1.10210008640553,-2.2211656225213585
blend_w0.70,0.7,42,52,0.9281518632577099,0.8849956797235023,0.40405496721020917,0.398963133640553,-0.12342139093594102,-0.031829121444623576,2.9910339861751147,1.2991069988479256,1.116770737327189,-3.9054653694514183
blend_w0.70,0.7,123,52,0.9300913350762141,0.903522465437788,0.4097854262672811,0.39667338709677424,-0.12063570863559937,-0.03490820538817241,2.3428600230414744,1.3430933179723494,1.1404176267281105,-2.8424233096725633
blend_w0.70,0.7,456,52,0.9372076612903226,0.9386261520737329,0.40797478730946474,0.39681739631336405,-0.12967312110520196,-0.05082261908723151,2.4175806451612902,1.367652073732718,1.1231569700460828,-2.964969367620018
blend_w0.70,0.7,789,52,0.9246095688585607,0.8770564516129034,0.4046110643388869,0.3894585253456221,-0.11751452951654126,-0.030148917608886827,2.754029377880184,1.3066195276497687,1.1232393433179721,-3.5167643704775085
blend_w0.70,0.7,1024,52,0.9113406704182914,0.8637240783410138,0.40268023307337825,0.39444124423963134,-0.10056008239841252,-0.0416068571335787,1.9707459677419357,1.2580864055299532,1.1036134792626726,-2.2321351550761324
blend_w0.75,0.75,42,52,0.931769056296526,0.8863857286866359,0.4046478974654378,0.3996255760368663,-0.12848809919793827,-0.03187417591521413,3.0650741647465436,1.3019756264400915,1.1199596774193548,-4.026895461389156
blend_w0.75,0.75,123,52,0.933743644208614,0.9063400057603687,0.4106408964019851,0.3982574884792627,-0.12575749082883844,-0.035745942302225386,2.4179327476958523,1.347674251152073,1.1535318260368663,-2.9655468357456805
blend_w0.75,0.75,456,52,0.9414941787043601,0.9440614199308756,0.40862892148174407,0.39703341013824883,-0.13545602585896785,-0.05112640333437757,2.4837269585253456,1.3732466877880178,1.1235617079493088,-3.0734530729286265
blend_w0.75,0.75,789,52,0.9292565108782347,0.8834965437788018,0.4053291718362283,0.3894009216589862,-0.1245233262116438,-0.03063078146426934,2.9103362615207375,1.3099204349078333,1.120461909562212,-3.7731165243646414
blend_w0.75,0.75,1024,52,0.9144893350097483,0.8650453629032258,0.40311918424317617,0.39494527649769584,-0.10541353978661507,-0.04423983039975943,2.012726814516129,1.2570420506912434,1.105411146313364,-2.300986124668223
blend_w0.80,0.8,42,52,0.9361418823112372,0.8878686635944701,0.4053460652250975,0.40028801843317974,-0.13473074855937708,-0.03330260907362126,3.168582949308756,1.305069700460829,1.123331797235023,-4.19665573842073
blend_w0.80,0.8,123,52,0.9380935395249911,0.9077131336405531,0.41157944877702946,0.3986175115207373,-0.13193788963871558,-0.03647334308250472,2.516578341013825,1.352603686635944,1.1673387096774195,-3.1273312033279126
blend_w0.80,0.8,456,52,0.9466264179369018,0.9463133640552994,0.40936392236795466,0.39769585253456224,-0.14252393251396475,-0.053044294509188905,2.580426267281106,1.379118087557603,1.1241002304147465,-3.2320454234481435
blend_w0.80,0.8,789,52,0.9347237238567884,0.8902764976958525,0.40612039170506914,0.3893433179723502,-0.13282677101771642,-0.0314017492537092,3.1019124423963134,1.3133404377880176,1.1179354838709676,-4.087312325963894
blend_w0.80,0.8,1024,52,0.9185829493087557,0.871036866359447,0.40371543778801844,0.39544930875576034,-0.11174537351925322,-0.04468354772318994,2.0900000000000003,1.2561134792626723,1.1074930875576037,-2.4277185312976317
blend_w0.85,0.85,42,52,0.9412703413018433,0.8894444844470046,0.4061273152250975,0.40095046082949304,-0.1421493390202575,-0.035227378751628624,3.301560339861751,1.3083892209101378,1.1268870967741935,-4.414746200546138
blend_w0.85,0.85,123,52,0.9431410210253457,0.908586909562212,0.4125772664835165,0.39897753456221197,-0.13917690506523067,-0.037507013219696406,2.6387968029953917,1.3578816244239624,1.1826535138248846,-3.327776412419258
blend_w0.85,0.85,456,52,0.9526043789879476,0.9486697148617512,0.4101770205600851,0.3983582949308756,-0.1508768410701927,-0.05568562411385947,2.707678571428571,1.385266273041474,1.1247725374423962,-3.440746419178569
blend_w0.85,0.85,789,52,0.9410112077942219,0.8936592741935483,0.4069459522332506,0.38930731566820276,-0.14242486393475923,-0.03222605072525275,3.3287579205069124,1.316879536290322,1.1156600662442397,-4.459351775275268
blend_w0.85,0.85,1024,52,0.9236215133153137,0.8782002448156683,0.40440751285005316,0.39595334101382484,-0.11955558359632702,-0.05064617849654807,2.2025655241935485,1.255300691244239,1.1098593029953918,-2.612332374964357
blend_w0.90,0.9,42,52,0.9471544332683445,0.8911131912442396,0.40693847483162,0.40161290322580645,-0.15074387058057945,-0.03758728929327937,3.46400633640553,1.311934187788018,1.1306255760368664,-4.681166847765383
blend_w0.90,0.9,123,52,0.9488860887096775,0.9096183755760368,0.41360499379652604,0.39933755760368667,-0.14747453710838376,-0.035716830807333566,2.784588133640553,1.3635080645161282,1.1988099078341012,-3.5668824630197173
blend_w0.90,0.9,456,52,0.9594280618574973,0.9502520161290322,0.41102999822757885,0.39906394009216595,-0.16051475152765157,-0.059665453191439344,2.865483870967742,1.3916912442396305,1.1268107718894007,-3.699556060119904
blend_w0.90,0.9,789,52,0.9481189626905352,0.8958122119815668,0.40778702144629564,0.3893865207373272,-0.1533176049627722,-0.033124906317935965,3.5908726958525348,1.3205377304147459,1.1136356566820274,-4.889234872298763
blend_w0.90,0.9,1024,52,0.9296050270294222,0.879926555299539,0.40517602357320104,0.39645737327188946,-0.1288441700178365,-0.05637364634328146,2.3504233870967743,1.254603686635944,1.1125097926267282,-2.8548276556684016
