fold_id,t_end,mse,mae,skill_vs_naive,mode,target_granularity,aux_source,run_type
0,730,541.1116333007812,6.617559432983398,0.000785907449789458,S1_gru_baseline,drug,none,manual
1,744,267.6949462890625,4.8348212242126465,0.012607844766122422,S1_gru_baseline,drug,none,manual
2,758,224.38690185546875,4.982142925262451,0.020774502961531494,S1_gru_baseline,drug,none,manual
3,772,76.75,3.0714285373687744,0.04197937943261065,S1_gru_baseline,drug,none,manual
4,786,50.363094329833984,2.125,0.015189452673214587,S1_gru_baseline,drug,none,manual
5,800,48.43303680419922,2.516369104385376,0.026908189030631524,S1_gru_baseline,drug,none,manual
6,814,39.543155670166016,2.236607074737549,0.012743286707379231,S1_gru_baseline,drug,none,manual
7,828,87.8452377319336,3.113095283508301,0.10180609191820189,S1_gru_baseline,drug,none,manual
8,842,210.36160278320312,6.33779764175415,-1.8335503262807284,S1_gru_baseline,drug,none,manual
9,856,209.5625,5.473214149475098,0.027894571213355146,S1_gru_baseline,drug,none,manual
10,870,35.063987731933594,2.171130895614624,0.10617559395746134,S1_gru_baseline,drug,none,manual
11,884,61.474700927734375,2.748511791229248,0.08305771392936312,S1_gru_baseline,drug,none,manual
12,898,45.75297546386719,2.4642856121063232,0.05300767724403099,S1_gru_baseline,drug,none,manual
13,912,37.855655670166016,2.1026785373687744,0.03698515520406309,S1_gru_baseline,drug,none,manual
14,926,53.373512268066406,2.543154716491699,0.04390361836685763,S1_gru_baseline,drug,none,manual
15,940,47.074405670166016,2.544642925262451,0.05454438053608901,S1_gru_baseline,drug,none,manual
16,954,46.8913688659668,2.5848214626312256,0.06647906063831366,S1_gru_baseline,drug,none,manual
17,968,74.27529907226562,3.394345283508301,-0.02646729055523478,S1_gru_baseline,drug,none,manual
18,982,36.05952453613281,2.1607143878936768,0.02104789060759671,S1_gru_baseline,drug,none,manual
19,996,80.05952453613281,2.8035714626312256,0.07971263103723714,S1_gru_baseline,drug,none,manual
20,1010,60.97618865966797,2.419642925262451,0.019806726225615523,S1_gru_baseline,drug,none,manual
21,1024,121.47470092773438,3.5997023582458496,0.07500282345526788,S1_gru_baseline,drug,none,manual
22,1038,55.630950927734375,2.9315476417541504,0.06942476231704131,S1_gru_baseline,drug,none,manual
23,1052,66.60713958740234,2.669642925262451,0.06947744879362272,S1_gru_baseline,drug,none,manual
24,1066,55.654762268066406,2.5386905670166016,0.11199751717033868,S1_gru_baseline,drug,none,manual
25,1080,76.51934814453125,3.1175594329833984,0.12589451725308187,S1_gru_baseline,drug,none,manual
26,1094,64.06993865966797,2.9002976417541504,-0.08153934294917708,S1_gru_baseline,drug,none,manual
27,1108,46.99106979370117,2.5238094329833984,0.07150840885891074,S1_gru_baseline,drug,none,manual
28,1122,54.74106979370117,2.5059523582458496,0.08531219762806552,S1_gru_baseline,drug,none,manual
29,1136,74.34375,2.519345283508301,0.12042467804786028,S1_gru_baseline,drug,none,manual
30,1150,44.5,2.377976179122925,-0.044097595589542404,S1_gru_baseline,drug,none,manual
31,1164,101.69047546386719,3.8392856121063232,-0.13817454679535968,S1_gru_baseline,drug,none,manual
32,1178,58.55506134033203,2.9776785373687744,0.06273962946915523,S1_gru_baseline,drug,none,manual
33,1192,20.3824405670166,1.4985119104385376,0.30468550531551497,S1_gru_baseline,drug,none,manual
34,1206,25.004465103149414,1.6741071939468384,0.3129012212966359,S1_gru_baseline,drug,none,manual
35,1220,37.962799072265625,1.6741071939468384,0.07104355119275596,S1_gru_baseline,drug,none,manual
36,1234,43.488094329833984,2.0238094329833984,0.09180190217315531,S1_gru_baseline,drug,none,manual
37,1248,12.617559432983398,1.1681547164916992,0.2973398220075759,S1_gru_baseline,drug,none,manual
38,1262,16.183034896850586,1.492559552192688,0.21252715920935028,S1_gru_baseline,drug,none,manual
39,1276,18.074405670166016,1.4404761791229248,0.25957082396844255,S1_gru_baseline,drug,none,manual
40,1290,32.2336311340332,1.8764880895614624,0.13553095078108435,S1_gru_baseline,drug,none,manual
41,1304,32.03571319580078,1.9017857313156128,0.15066874708730327,S1_gru_baseline,drug,none,manual
42,1318,19.858631134033203,1.578869104385376,0.048009684813805964,S1_gru_baseline,drug,none,manual
43,1332,23.375,1.735119104385376,0.10419161676646704,S1_gru_baseline,drug,none,manual
44,1346,15.2068452835083,1.1651785373687744,0.14649631991363865,S1_gru_baseline,drug,none,manual
45,1360,27.01339340209961,1.3794642686843872,0.09968755286145214,S1_gru_baseline,drug,none,manual
46,1374,38.13541793823242,1.9717261791229248,-0.0935819885856708,S1_gru_baseline,drug,none,manual
47,1388,19.57589340209961,1.4092261791229248,0.18352778572632644,S1_gru_baseline,drug,none,manual
