fold_id,t_end,mse,mae,skill_vs_naive,mode,target_granularity,aux_source,run_type
0,730,539.3020629882812,6.620535850524902,0.00412745112845847,S3_gru_ylarge_lag,drug,y_large_lag,manual
1,744,268.13690185546875,4.830357074737549,0.01097769273941862,S3_gru_ylarge_lag,drug,y_large_lag,manual
2,758,512.6071166992188,9.461309432983398,-1.2370198727489359,S3_gru_ylarge_lag,drug,y_large_lag,manual
3,772,80.15625,3.138392925262451,-0.0005386367082058641,S3_gru_ylarge_lag,drug,y_large_lag,manual
4,786,53.50297546386719,2.1875,-0.04620844392736312,S3_gru_ylarge_lag,drug,y_large_lag,manual
5,800,50.063987731933594,2.5520832538604736,-0.005860043081000521,S3_gru_ylarge_lag,drug,y_large_lag,manual
6,814,39.85118865966797,2.294642925262451,0.005052761466096123,S3_gru_ylarge_lag,drug,y_large_lag,manual
7,828,100.55952453613281,3.2708332538604736,-0.02819406799923385,S3_gru_ylarge_lag,drug,y_large_lag,manual
8,842,71.35565185546875,3.331845283508301,0.03884631072424061,S3_gru_ylarge_lag,drug,y_large_lag,manual
9,856,217.70089721679688,5.558035850524902,-0.009857317202131233,S3_gru_ylarge_lag,drug,y_large_lag,manual
10,870,37.70981979370117,2.2544643878936768,0.038730062970581236,S3_gru_ylarge_lag,drug,y_large_lag,manual
11,884,65.29762268066406,2.752976179122925,0.026035905629372746,S3_gru_ylarge_lag,drug,y_large_lag,manual
12,898,47.30506134033203,2.453869104385376,0.02088269751607985,S3_gru_ylarge_lag,drug,y_large_lag,manual
13,912,39.40922546386719,2.0848214626312256,-0.0025363045956643404,S3_gru_ylarge_lag,drug,y_large_lag,manual
14,926,53.80952453613281,2.497023820877075,0.03609319454179172,S3_gru_ylarge_lag,drug,y_large_lag,manual
15,940,49.57291793823242,2.590773820877075,0.004363556572123506,S3_gru_ylarge_lag,drug,y_large_lag,manual
16,954,46.706844329833984,2.563988208770752,0.07015260488476882,S3_gru_ylarge_lag,drug,y_large_lag,manual
17,968,65.59970092773438,3.1324405670166016,0.09342745012697706,S3_gru_ylarge_lag,drug,y_large_lag,manual
18,982,37.25,2.125,-0.011271405931238654,S3_gru_ylarge_lag,drug,y_large_lag,manual
19,996,86.60713958740234,2.967261791229248,0.0044475396764424024,S3_gru_ylarge_lag,drug,y_large_lag,manual
20,1010,60.0788688659668,2.4122023582458496,0.0342311572296522,S3_gru_ylarge_lag,drug,y_large_lag,manual
21,1024,129.4300537109375,3.6324405670166016,0.014424951629447458,S3_gru_ylarge_lag,drug,y_large_lag,manual
22,1038,59.21875,3.043154716491699,0.009409304756926251,S3_gru_ylarge_lag,drug,y_large_lag,manual
23,1052,73.80059814453125,2.8363094329833984,-0.03101741482071163,S3_gru_ylarge_lag,drug,y_large_lag,manual
24,1066,62.48660659790039,2.6473214626312256,0.0029916660990949584,S3_gru_ylarge_lag,drug,y_large_lag,manual
25,1080,87.45684814453125,3.328869104385376,0.000951885756975801,S3_gru_ylarge_lag,drug,y_large_lag,manual
26,1094,59.32143020629883,2.747023820877075,-0.0013816462183326994,S3_gru_ylarge_lag,drug,y_large_lag,manual
27,1108,50.63541793823242,2.5104167461395264,-0.0004998817001917732,S3_gru_ylarge_lag,drug,y_large_lag,manual
28,1122,59.904762268066406,2.6458332538604736,-0.0009697573885518729,S3_gru_ylarge_lag,drug,y_large_lag,manual
29,1136,84.1860122680664,2.6502976417541504,0.003978964680268371,S3_gru_ylarge_lag,drug,y_large_lag,manual
30,1150,42.39583206176758,2.2440476417541504,0.005272217557088621,S3_gru_ylarge_lag,drug,y_large_lag,manual
31,1164,88.69345092773438,3.300595283508301,0.007295148804179141,S3_gru_ylarge_lag,drug,y_large_lag,manual
32,1178,59.60714340209961,2.857142925262451,0.045899499846373315,S3_gru_ylarge_lag,drug,y_large_lag,manual
33,1192,27.150297164916992,1.8229166269302368,0.0738108573559767,S3_gru_ylarge_lag,drug,y_large_lag,manual
34,1206,35.08333206176758,1.9315476417541504,0.03594359995131968,S3_gru_ylarge_lag,drug,y_large_lag,manual
35,1220,39.77827453613281,1.7217261791229248,0.026618543526689353,S3_gru_ylarge_lag,drug,y_large_lag,manual
36,1234,46.50297546386719,2.0863094329833984,0.028839628169243015,S3_gru_ylarge_lag,drug,y_large_lag,manual
37,1248,17.127975463867188,1.3095238208770752,0.04615893810415739,S3_gru_ylarge_lag,drug,y_large_lag,manual
38,1262,18.4449405670166,1.5758928060531616,0.10246193998197584,S3_gru_ylarge_lag,drug,y_large_lag,manual
39,1276,19.590774536132812,1.483630895614624,0.19745183812311762,S3_gru_ylarge_lag,drug,y_large_lag,manual
40,1290,37.9836311340332,2.078869104385376,-0.018677460065950502,S3_gru_ylarge_lag,drug,y_large_lag,manual
41,1304,36.97172546386719,2.0223214626312256,0.019805124404515317,S3_gru_ylarge_lag,drug,y_large_lag,manual
42,1318,151.45387268066406,5.40625,-6.260451086295604,S3_gru_ylarge_lag,drug,y_large_lag,manual
43,1332,25.848215103149414,1.7916666269302368,0.009409720597866822,S3_gru_ylarge_lag,drug,y_large_lag,manual
