seed,bucket,n_rows,mse,naive_mse,mae,skill
42,dense,71344,1.8913786373065709,1.7651519398968378,0.7536113758690289,-0.07151038647534791
42,sparse,100464,0.3133271121993948,0.25778388278388276,0.18876313903487818,-0.21546432156923334
42,ultra,8736,0.001717032967032967,0.001717032967032967,0.001717032967032967,0.0
123,dense,71344,1.887077364599686,1.7651519398968378,0.7647741926440906,-0.06907361454106553
123,sparse,100464,0.31905184941869724,0.25778388278388276,0.1892190237298933,-0.23767182794038155
123,ultra,8736,0.001717032967032967,0.001717032967032967,0.001717032967032967,0.0
456,dense,71344,1.90417638483965,1.7651519398968378,0.7627943485086343,-0.07876061080098151
456,sparse,100464,0.31787590579710145,0.25778388278388276,0.18865464245899027,-0.2331100857209052
456,ultra,8736,0.001717032967032967,0.001717032967032967,0.001717032967032967,0.0
789,dense,71344,1.8702749355236599,1.7651519398968378,0.754328324736488,-0.05955464413616762
789,sparse,100464,0.3170932124940277,0.25778388278388276,0.18833462732919254,-0.23007384740134396
789,ultra,8736,0.001717032967032967,0.001717032967032967,0.001717032967032967,0.0
1024,dense,71344,1.8645703212603724,1.7651519398968378,0.7545736151603499,-0.05632284627540041
1024,sparse,100464,0.30672079053193185,0.25778388278388276,0.18656483914636088,-0.18983695652173926
1024,ultra,8736,0.001717032967032967,0.001717032967032967,0.001717032967032967,0.0
